,,,問11(3).それらの活動では、あなたは自分のためになったことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
全体,,回答者数（人）,4008,325,721,1345,1617,36,2724
全体,,構成比（％）,100.0,8.1,18.0,33.6,40.3,,
小中高校生別×男女別,小学生-全体,回答者数（人）,1430,102,238,447,643,22,842
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,7.1,16.6,31.3,45.0,,
小中高校生別×男女別,小学生-男子,回答者数（人）,765,52,117,236,360,15,402
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,6.8,15.3,30.8,47.1,,
小中高校生別×男女別,小学生-女子,回答者数（人）,665,50,121,211,283,7,440
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,7.5,18.2,31.7,42.6,,
小中高校生別×男女別,中学生-全体,回答者数（人）,1538,147,273,510,608,10,970
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,9.6,17.8,33.2,39.5,,
小中高校生別×男女別,中学生-男子,回答者数（人）,781,85,111,243,342,4,492
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,10.9,14.2,31.1,43.8,,
小中高校生別×男女別,中学生-女子,回答者数（人）,757,62,162,267,266,6,478
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,8.2,21.4,35.3,35.1,,
小中高校生別×男女別,高校生-全体,回答者数（人）,990,70,202,368,350,4,868
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,7.1,20.4,37.2,35.4,,
小中高校生別×男女別,高校生-男子,回答者数（人）,434,38,80,141,175,3,384
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,8.8,18.4,32.5,40.3,,
小中高校生別×男女別,高校生-女子,回答者数（人）,556,32,122,227,175,1,484
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,5.8,21.9,40.8,31.5,,
