,,,問15.あなたが困ったときに相談する相手はだれですか（複数回答）／合計,親,祖父母,兄弟姉妹,親せきの大人,学校の先生,塾や習い事の先生,友達
全体,,回答者数（人）,4724,3382,894,1180,329,1266,439,3216
全体,,構成比（％）,100.0,71.6,18.9,25.0,7.0,26.8,9.3,68.1
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,355,229,49,69,28,105,30,214
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,64.5,13.8,19.4,7.9,29.6,8.5,60.3
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,154,118,23,34,13,62,12,78
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,76.6,14.9,22.1,8.4,40.3,7.8,50.6
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,191,106,26,33,15,42,18,131
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,55.5,13.6,17.3,7.9,22.0,9.4,68.6
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,5,0,2,0,1,0,5
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,50.0,0.0,20.0,0.0,10.0,0.0,50.0
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,735,554,141,197,54,158,89,496
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,75.4,19.2,26.8,7.3,21.5,12.1,67.5
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,350,297,93,98,32,105,45,225
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,84.9,26.6,28.0,9.1,30.0,12.9,64.3
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,358,236,47,91,21,49,41,250
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,65.9,13.1,25.4,5.9,13.7,11.5,69.8
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,27,21,1,8,1,4,3,21
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,77.8,3.7,29.6,3.7,14.8,11.1,77.8
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,436,312,87,103,24,131,47,289
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,71.6,20.0,23.6,5.5,30.0,10.8,66.3
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,255,204,66,66,14,95,35,159
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,80.0,25.9,25.9,5.5,37.3,13.7,62.4
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,180,108,21,37,10,36,12,129
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,60.0,11.7,20.6,5.6,20.0,6.7,71.7
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,0,0,0,0,1
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,717,499,124,177,43,157,75,497
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,69.6,17.3,24.7,6.0,21.9,10.5,69.3
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,303,243,69,85,24,73,37,175
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,80.2,22.8,28.1,7.9,24.1,12.2,57.8
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,339,211,50,83,18,74,34,261
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,62.2,14.7,24.5,5.3,21.8,10.0,77.0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,75,45,5,9,1,10,4,61
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,60.0,6.7,12.0,1.3,13.3,5.3,81.3
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,749,569,185,224,71,250,84,553
