,,,問8(12).電車内で携帯電話を使って通話する人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,6578,570,978,2125,2905,190
全体,,構成比（％）,100.0,8.7,14.9,32.3,44.2,
小中高校生別×男女別,小学生-全体,回答者数（人）,2196,212,329,653,1002,98
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,9.7,15.0,29.7,45.6,
小中高校生別×男女別,小学生-男子,回答者数（人）,1112,145,188,318,461,70
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,13.0,16.9,28.6,41.5,
小中高校生別×男女別,小学生-女子,回答者数（人）,1084,67,141,335,541,28
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,6.2,13.0,30.9,49.9,
小中高校生別×男女別,中学生-全体,回答者数（人）,2467,247,374,813,1033,51
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,10.0,15.2,33.0,41.9,
小中高校生別×男女別,中学生-男子,回答者数（人）,1243,172,227,390,454,34
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,13.8,18.3,31.4,36.5,
小中高校生別×男女別,中学生-女子,回答者数（人）,1224,75,147,423,579,17
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,6.1,12.0,34.6,47.3,
小中高校生別×男女別,高校生-全体,回答者数（人）,1824,103,256,633,832,38
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,5.6,14.0,34.7,45.6,
小中高校生別×男女別,高校生-男子,回答者数（人）,803,64,130,270,339,18
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,8.0,16.2,33.6,42.2,
小中高校生別×男女別,高校生-女子,回答者数（人）,1021,39,126,363,493,20
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,3.8,12.3,35.6,48.3,
