,,,問6(1).何をしようが自分の勝手だと思う／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,5111,401,1164,1914,1632,50
全体,,構成比（％）,100.0,7.8,22.8,37.4,31.9,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,383,31,98,128,126,7
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,8.1,25.6,33.4,32.9,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,167,13,27,53,74,5
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,7.8,16.2,31.7,44.3,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,206,17,66,73,50,2
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,8.3,32.0,35.4,24.3,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,1,5,2,2,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,10.0,50.0,20.0,20.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,799,51,168,311,269,9
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,6.4,21.0,38.9,33.7,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,379,9,57,138,175,5
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,2.4,15.0,36.4,46.2,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,392,40,98,162,92,4
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,10.2,25.0,41.3,23.5,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,2,13,11,2,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,7.1,46.4,39.3,7.1,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,466,36,83,190,157,4
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,7.7,17.8,40.8,33.7,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,266,14,35,103,114,2
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,5.3,13.2,38.7,42.9,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,199,22,48,87,42,2
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,11.1,24.1,43.7,21.1,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,0,1,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,0.0,100.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,761,60,176,289,236,10
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,7.9,23.1,38.0,31.0,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,313,28,46,115,124,8
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,8.9,14.7,36.7,39.6,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,367,21,98,142,106,2
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,5.7,26.7,38.7,28.9,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,11,32,32,6,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,13.6,39.5,39.5,7.4,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,813,88,216,290,219,6
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,10.8,26.6,35.7,26.9,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,250,10,35,95,110,2
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,4.0,14.0,38.0,44.0,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,354,51,96,120,87,4
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,14.4,27.1,33.9,24.6,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,27,85,75,22,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,12.9,40.7,35.9,10.5,
