,,,問11(4).それらの活動では、あなたは頑張ったことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
全体,,回答者数（人）,3130,153,228,890,1859,39,1992
全体,,構成比（％）,100.0,4.9,7.3,28.4,59.4,,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,232,14,19,76,123,2,156
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,6.0,8.2,32.8,53.0,,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,105,7,7,26,65,1,66
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,6.7,6.7,24.8,61.9,,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,123,7,11,48,57,1,84
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,5.7,8.9,39.0,46.3,,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,4,0,1,2,1,0,6
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,25.0,50.0,25.0,,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,518,27,37,136,318,4,286
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,5.2,7.1,26.3,61.4,,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,249,11,15,62,161,1,134
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,4.4,6.0,24.9,64.7,,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,255,16,21,71,147,3,138
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,6.3,8.2,27.8,57.6,,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,14,0,1,3,10,0,14
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,0.0,7.1,21.4,71.4,,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,267,16,27,73,151,3,200
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,6.0,10.1,27.3,56.6,,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,169,7,17,40,105,1,98
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,4.1,10.1,23.7,62.1,,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,98,9,10,33,46,2,101
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,9.2,10.2,33.7,46.9,,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,0,0,0,0,0,0,1
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,0.0,0.0,0.0,0.0,0.0,,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,508,20,39,146,303,5,258
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,3.9,7.7,28.7,59.6,,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,221,9,14,45,153,4,96
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,4.1,6.3,20.4,69.2,,
