,,,問7(8).友達の失敗や間違いを、馬鹿にしてみんなに話す／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,5098,112,533,1912,2541,63
全体,,構成比（％）,100.0,2.2,10.5,37.5,49.8,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,379,12,39,138,190,11
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,3.2,10.3,36.4,50.1,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,165,4,10,44,107,7
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,2.4,6.1,26.7,64.8,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,204,7,28,91,78,4
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,3.4,13.7,44.6,38.2,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,1,1,3,5,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,10.0,10.0,30.0,50.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,797,20,81,283,413,11
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,2.5,10.2,35.5,51.8,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,380,10,18,104,248,4
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,2.6,4.7,27.4,65.3,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,389,9,58,163,159,7
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,2.3,14.9,41.9,40.9,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,1,5,16,6,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,3.6,17.9,57.1,21.4,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,463,8,62,175,218,7
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,1.7,13.4,37.8,47.1,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,264,3,28,75,158,4
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,1.1,10.6,28.4,59.8,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,198,5,34,99,60,3
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,2.5,17.2,50.0,30.3,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,1,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,100.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,761,14,74,282,391,10
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,1.8,9.7,37.1,51.4,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,312,5,17,92,198,9
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,1.6,5.4,29.5,63.5,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,368,8,41,156,163,1
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,2.2,11.1,42.4,44.3,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,1,16,34,30,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,1.2,19.8,42.0,37.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,816,16,85,324,391,3
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,2.0,10.4,39.7,47.9,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,251,3,16,73,159,1
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,1.2,6.4,29.1,63.3,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,356,6,38,138,174,2
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,1.7,10.7,38.8,48.9,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,7,31,113,58,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,3.3,14.8,54.1,27.8,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,524,11,55,200,258,7
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,2.1,10.5,38.2,49.2,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,279,6,26,100,147,7
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,2.2,9.3,35.8,52.7,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,5,27,94,107,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,2.1,11.6,40.3,45.9,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,0,2,6,4,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,16.7,50.0,33.3,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,713,10,66,283,354,5
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,1.4,9.3,39.7,49.6,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,203,3,12,61,127,0
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,1.5,5.9,30.0,62.6,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,342,5,37,142,158,3
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,1.5,10.8,41.5,46.2,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,168,2,17,80,69,2
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,1.2,10.1,47.6,41.1,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,645,21,71,227,326,9
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,3.3,11.0,35.2,50.5,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,299,4,14,92,189,6
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,1.3,4.7,30.8,63.2,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,266,14,38,100,114,2
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,5.3,14.3,37.6,42.9,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,3,19,35,23,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,3.8,23.8,43.8,28.8,
