,,,問6(11).自分が誰かの迷惑になっていないか常に気をつかう／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,5087,1777,2157,883,270,74
全体,,構成比（％）,100.0,34.9,42.4,17.4,5.3,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,381,116,165,74,26,9
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,30.4,43.3,19.4,6.8,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,166,59,63,30,14,6
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,35.5,38.0,18.1,8.4,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,205,54,96,43,12,3
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,26.3,46.8,21.0,5.9,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,3,6,1,0,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,30.0,60.0,10.0,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,797,338,299,119,41,11
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,42.4,37.5,14.9,5.1,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,378,160,139,63,16,6
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,42.3,36.8,16.7,4.2,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,391,171,143,54,23,5
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,43.7,36.6,13.8,5.9,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,7,17,2,2,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,25.0,60.7,7.1,7.1,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,464,166,201,72,25,6
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,35.8,43.3,15.5,5.4,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,264,101,100,46,17,4
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,38.3,37.9,17.4,6.4,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,199,65,100,26,8,2
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,32.7,50.3,13.1,4.0,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,1,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,100.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,758,254,323,141,40,13
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,33.5,42.6,18.6,5.3,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,313,109,114,66,24,8
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,34.8,36.4,21.1,7.7,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,366,119,166,65,16,3
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,32.5,45.4,17.8,4.4,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,79,26,43,10,0,2
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,32.9,54.4,12.7,0.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,811,296,344,141,30,8
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,36.5,42.4,17.4,3.7,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,248,82,98,48,20,4
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,33.1,39.5,19.4,8.1,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,354,149,142,58,5,4
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,42.1,40.1,16.4,1.4,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,65,104,35,5,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,31.1,49.8,16.7,2.4,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,523,128,255,117,23,8
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,24.5,48.8,22.4,4.4,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,280,56,132,76,16,6
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,20.0,47.1,27.1,5.7,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,231,68,115,41,7,2
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,29.4,49.8,17.7,3.0,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,4,8,0,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,33.3,66.7,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,712,263,302,112,35,6
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,36.9,42.4,15.7,4.9,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,200,78,76,29,17,3
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,39.0,38.0,14.5,8.5,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,344,119,153,58,14,1
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,34.6,44.5,16.9,4.1,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,168,66,73,25,4,2
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,39.3,43.5,14.9,2.4,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,641,216,268,107,50,13
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,33.7,41.8,16.7,7.8,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,296,93,128,48,27,9
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,31.4,43.2,16.2,9.1,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,264,89,107,47,21,4
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,33.7,40.5,17.8,8.0,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,34,33,12,2,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,42.0,40.7,14.8,2.5,
