,,,問5(4).あなたは、友達の悪口を言う／合計,いつもしている,ある程度している,あまりしていない,まったくしていない,不明
全体,,回答者数（人）,5109,157,942,2681,1329,52
全体,,構成比（％）,100.0,3.1,18.4,52.5,26.0,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,382,13,77,192,100,8
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,3.4,20.2,50.3,26.2,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,166,1,27,78,60,6
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,0.6,16.3,47.0,36.1,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,206,12,47,109,38,2
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,5.8,22.8,52.9,18.4,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,3,5,2,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,30.0,50.0,20.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,799,28,93,414,264,9
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,3.5,11.6,51.8,33.0,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,378,8,32,181,157,6
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,2.1,8.5,47.9,41.5,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,393,19,57,217,100,3
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,4.8,14.5,55.2,25.4,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,1,4,16,7,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,3.6,14.3,57.1,25.0,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,462,15,107,237,103,8
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,3.2,23.2,51.3,22.3,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,262,8,45,136,73,6
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,3.1,17.2,51.9,27.9,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,199,7,62,100,30,2
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,3.5,31.2,50.3,15.1,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,1,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,100.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,765,21,113,442,189,6
