地区名,,小学生／男子,小学生／女子,小学生／不明,中学生／男子,中学生／女子,中学生／不明,高校生／男子,高校生／女子,高校生／不明
全体,回答者数（人）,1182,1112,41,1277,1241,41,821,1041,12
全体,構成比（％）,51.5,48.5,,50.7,49.3,,44.1,55.9,
A地区,回答者数（人）,100,72,0,99,103,6,1,17,0
A地区,構成比（％）,58.1,41.9,,49.0,51.0,,5.6,94.4,
B地区,回答者数（人）,200,178,6,207,187,3,13,16,0
B地区,構成比（％）,52.9,47.1,,52.5,47.5,,44.8,55.2,
C地区,回答者数（人）,132,136,1,105,109,5,4,2,0
C地区,構成比（％）,49.3,50.7,,49.1,50.9,,66.7,33.3,
D地区,回答者数（人）,194,184,9,236,221,4,59,77,2
D地区,構成比（％）,51.3,48.7,,51.6,48.4,,43.4,56.6,
E地区,回答者数（人）,122,127,3,181,169,8,127,137,0
E地区,構成比（％）,49.0,51.0,,51.7,48.3,,48.1,51.9,
F地区,回答者数（人）,132,145,9,111,118,4,6,9,0
F地区,構成比（％）,47.7,52.3,,48.5,51.5,,40.0,60.0,
G地区,回答者数（人）,117,83,3,176,168,2,94,96,3
G地区,構成比（％）,58.5,41.5,,51.2,48.8,,49.5,50.5,
H地区,回答者数（人）,139,159,7,124,139,5,36,48,0
H地区,構成比（％）,46.6,53.4,,47.1,52.9,,42.9,57.1,
その他,回答者数（人）,31,21,0,28,23,2,478,638,7
その他,構成比（％）,59.6,40.4,,54.9,45.1,,42.8,57.2,
不明,回答者数（人）,15,7,3,10,4,2,3,1,0
不明,構成比（％）,68.2,31.8,,71.4,28.6,,75.0,25.0,
