,,,問13.子供たちみんなが社会のルールやマナーを守って生活するようになるためには、何が必要だと思いますか(2位)／合計,地域の人々の交流が深まること,町をきれいにしておくこと,その他,不明
全体,,回答者数（人）,6152,419,399,24,616
全体,,構成比（％）,100.0,6.8,6.5,0.4,
小中高校生別×男女別,小学生-全体,回答者数（人）,2071,191,205,7,223
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,9.2,9.9,0.3,
小中高校生別×男女別,小学生-男子,回答者数（人）,1037,91,94,2,145
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,8.8,9.1,0.2,
小中高校生別×男女別,小学生-女子,回答者数（人）,1034,100,111,5,78
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,9.7,10.7,0.5,
小中高校生別×男女別,中学生-全体,回答者数（人）,2272,155,131,11,246
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,6.8,5.8,0.5,
小中高校生別×男女別,中学生-男子,回答者数（人）,1128,68,73,7,149
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,6.0,6.5,0.6,
小中高校生別×男女別,中学生-女子,回答者数（人）,1144,87,58,4,97
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,7.6,5.1,0.3,
小中高校生別×男女別,高校生-全体,回答者数（人）,1735,68,55,6,127
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,3.9,3.2,0.3,
小中高校生別×男女別,高校生-男子,回答者数（人）,761,31,32,4,60
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,4.1,4.2,0.5,
小中高校生別×男女別,高校生-女子,回答者数（人）,974,37,23,2,67
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,3.8,2.4,0.2,
