,,,問6(8).周(まわ)りから笑われるようなことだけはしたくない／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,5081,1412,1298,1403,968,80
全体,,構成比（％）,100.0,27.8,25.5,27.6,19.1,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,379,102,97,111,69,11
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,26.9,25.6,29.3,18.2,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,164,60,34,37,33,8
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,36.6,20.7,22.6,20.1,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,205,40,60,71,34,3
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,19.5,29.3,34.6,16.6,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,2,3,3,2,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,20.0,30.0,30.0,20.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,793,217,189,211,176,15
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,27.4,23.8,26.6,22.2,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,375,128,81,83,83,9
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,34.1,21.6,22.1,22.1,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,390,82,98,119,91,6
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,21.0,25.1,30.5,23.3,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,7,10,9,2,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,25.0,35.7,32.1,7.1,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,463,169,115,113,66,7
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,36.5,24.8,24.4,14.3,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,263,124,59,43,37,5
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,47.1,22.4,16.3,14.1,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,199,45,56,69,29,2
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,22.6,28.1,34.7,14.6,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,1,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,100.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,760,211,181,215,153,11
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,27.8,23.8,28.3,20.1,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,313,121,52,81,59,8
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,38.7,16.6,25.9,18.8,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,366,73,104,106,83,3
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,19.9,28.4,29.0,22.7,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,17,25,28,11,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,21.0,30.9,34.6,13.6,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,808,237,235,202,134,11
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,29.3,29.1,25.0,16.6,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,245,97,57,48,43,7
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,39.6,23.3,19.6,17.6,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,354,109,106,80,59,4
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,30.8,29.9,22.6,16.7,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,31,72,74,32,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,14.8,34.4,35.4,15.3,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,527,109,131,162,125,4
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,20.7,24.9,30.7,23.7,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,282,69,61,78,74,4
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,24.5,21.6,27.7,26.2,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,37,67,79,50,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,15.9,28.8,33.9,21.5,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,3,3,5,1,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,25.0,25.0,41.7,8.3,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,712,187,171,216,138,6
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,26.3,24.0,30.3,19.4,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,200,74,42,40,44,3
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,37.0,21.0,20.0,22.0,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,344,72,82,125,65,1
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,20.9,23.8,36.3,18.9,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,168,41,47,51,29,2
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,24.4,28.0,30.4,17.3,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,639,180,179,173,107,15
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,28.2,28.0,27.1,16.7,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,294,101,89,55,49,11
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,34.4,30.3,18.7,16.7,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,264,60,66,92,46,4
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,22.7,25.0,34.8,17.4,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,19,24,26,12,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,23.5,29.6,32.1,14.8,
