,,,問13.子供たちみんなが社会のルールやマナーを守って生活するようになるためには、何が必要だと思いますか(2位)／合計,地域の人々の交流が深まること,町をきれ,その他,不明
全体,,回答者数（人）,4684,355,352,19,477
全体,,構成比（％）,100.0,7.6,7.5,0.4,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,343,18,23,3,47
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,5.2,6.7,0.9,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,150,10,18,3,22
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,6.7,12.0,2.0,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,184,7,5,0,24
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,3.8,2.7,0.0,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,9,1,0,0,1
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,11.1,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,737,59,55,6,71
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,8.0,7.5,0.8,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,353,31,35,2,31
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,8.8,9.9,0.6,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,357,25,20,4,39
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,7.0,5.6,1.1,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,27,3,0,0,1
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,11.1,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,430,43,27,2,40
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,10.0,6.3,0.5,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,250,25,17,1,18
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,10.0,6.8,0.4,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,179,18,10,1,22
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,10.1,5.6,0.6,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,713,62,52,0,58
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,8.7,7.3,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,298,33,25,0,23
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,11.1,8.4,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,339,27,25,0,30
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,8.0,7.4,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,76,2,2,0,5
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,2.6,2.6,0.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,737,45,61,1,82
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,6.1,8.3,0.1,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,223,19,32,0,29
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,8.5,14.3,0.0,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,322,18,24,1,36
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,5.6,7.5,0.3,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,192,8,5,0,17
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,4.2,2.6,0.0,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,484,48,33,4,47
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,9.9,6.8,0.8,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,253,31,17,0,33
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,12.3,6.7,0.0,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,220,17,15,4,13
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,7.7,6.8,1.8,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,11,0,1,0,1
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,9.1,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,650,34,54,3,68
