,,,問6(4).友達がみんなで悪いことをしているのに自分だけ裏切れない／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,6617,500,1532,2281,2304,151
全体,,構成比（％）,100.0,7.6,23.2,34.5,34.8,
小中高校生別×男女別,小学生-全体,回答者数（人）,2217,206,414,600,997,77
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,9.3,18.7,27.1,45.0,
小中高校生別×男女別,小学生-男子,回答者数（人）,1143,102,217,313,511,39
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,8.9,19.0,27.4,44.7,
小中高校生別×男女別,小学生-女子,回答者数（人）,1074,104,197,287,486,38
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,9.7,18.3,26.7,45.3,
小中高校生別×男女別,中学生-全体,回答者数（人）,2461,217,648,823,773,57
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,8.8,26.3,33.4,31.4,
小中高校生別×男女別,中学生-男子,回答者数（人）,1245,132,315,387,411,32
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,10.6,25.3,31.1,33.0,
小中高校生別×男女別,中学生-女子,回答者数（人）,1216,85,333,436,362,25
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,7.0,27.4,35.9,29.8,
小中高校生別×男女別,高校生-全体,回答者数（人）,1846,70,457,825,494,16
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,3.8,24.8,44.7,26.8,
小中高校生別×男女別,高校生-男子,回答者数（人）,812,37,214,359,202,9
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,4.6,26.4,44.2,24.9,
小中高校生別×男女別,高校生-女子,回答者数（人）,1034,33,243,466,292,7
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,3.2,23.5,45.1,28.2,
