,,,問11(4).それらの活動では、あなたは頑張ったことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
全体,,回答者数（人）,3996,192,315,1213,2276,48,2724
全体,,構成比（％）,100.0,4.8,7.9,30.4,57.0,,
小中高校生別×男女別,小学生-全体,回答者数（人）,1422,59,94,315,954,30,842
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,4.1,6.6,22.2,67.1,,
小中高校生別×男女別,小学生-男子,回答者数（人）,761,27,46,167,521,19,402
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,3.5,6.0,21.9,68.5,,
小中高校生別×男女別,小学生-女子,回答者数（人）,661,32,48,148,433,11,440
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,4.8,7.3,22.4,65.5,,
小中高校生別×男女別,中学生-全体,回答者数（人）,1535,91,113,495,836,13,970
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,5.9,7.4,32.2,54.5,,
小中高校生別×男女別,中学生-男子,回答者数（人）,778,51,55,236,436,7,492
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,6.6,7.1,30.3,56.0,,
小中高校生別×男女別,中学生-女子,回答者数（人）,757,40,58,259,400,6,478
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,5.3,7.7,34.2,52.8,,
小中高校生別×男女別,高校生-全体,回答者数（人）,989,37,102,392,458,5,868
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,3.7,10.3,39.6,46.3,,
小中高校生別×男女別,高校生-男子,回答者数（人）,433,19,45,142,227,4,384
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,4.4,10.4,32.8,52.4,,
小中高校生別×男女別,高校生-女子,回答者数（人）,556,18,57,250,231,1,484
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,3.2,10.3,45.0,41.5,,
