,,,問9(4).授業中、いすに座らずに立ち歩いた／合計,まったくない,1回ある,数回ある,何度もある,不明
全体,,回答者数（人）,4967,3899,460,459,149,194
全体,,構成比（％）,100.0,78.5,9.3,9.2,3.0,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,374,270,32,53,19,16
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,72.2,8.6,14.2,5.1,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,162,126,13,18,5,10
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,77.8,8.0,11.1,3.1,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,202,138,18,35,11,6
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,68.3,8.9,17.3,5.4,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,6,1,0,3,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,60.0,10.0,0.0,30.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,779,621,83,52,23,29
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,79.7,10.7,6.7,3.0,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,364,314,34,13,3,20
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,86.3,9.3,3.6,0.8,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,387,282,48,39,18,9
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,72.9,12.4,10.1,4.7,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,25,1,0,2,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,89.3,3.6,0.0,7.1,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,453,331,51,62,9,17
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,73.1,11.3,13.7,2.0,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,256,211,24,20,1,12
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,82.4,9.4,7.8,0.4,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,196,120,27,41,8,5
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,61.2,13.8,20.9,4.1,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,1,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,100.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,739,590,56,65,28,32
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,79.8,7.6,8.8,3.8,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,300,258,19,16,7,21
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,86.0,6.3,5.3,2.3,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,360,279,32,36,13,9
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,77.5,8.9,10.0,3.6,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,79,53,5,13,8,2
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,67.1,6.3,16.5,10.1,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,791,604,84,82,21,28
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,76.4,10.6,10.4,2.7,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,242,203,23,14,2,10
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,83.9,9.5,5.8,0.8,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,343,267,36,29,11,15
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,77.8,10.5,8.5,3.2,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,206,134,25,39,8,3
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,65.0,12.1,18.9,3.9,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,506,412,51,35,8,25
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,81.4,10.1,6.9,1.6,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,270,224,27,17,2,16
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,83.0,10.0,6.3,0.7,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,224,177,23,18,6,9
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,79.0,10.3,8.0,2.7,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,11,1,0,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,91.7,8.3,0.0,0.0,
