,,,問9(3).授業中、おしゃべりをした／合計,まったくない,1回ある,数回ある,何度もある,不明
全体,,回答者数（人）,6548,880,849,2845,1974,220
全体,,構成比（％）,100.0,13.4,13.0,43.4,30.1,
小中高校生別×男女別,小学生-全体,回答者数（人）,2183,371,468,984,360,111
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,17.0,21.4,45.1,16.5,
小中高校生別×男女別,小学生-男子,回答者数（人）,1105,183,205,493,224,77
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,16.6,18.6,44.6,20.3,
小中高校生別×男女別,小学生-女子,回答者数（人）,1078,188,263,491,136,34
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,17.4,24.4,45.5,12.6,
小中高校生別×男女別,中学生-全体,回答者数（人）,2456,279,264,1088,825,62
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,11.4,10.7,44.3,33.6,
小中高校生別×男女別,中学生-男子,回答者数（人）,1235,162,125,536,412,42
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,13.1,10.1,43.4,33.4,
小中高校生別×男女別,中学生-女子,回答者数（人）,1221,117,139,552,413,20
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,9.6,11.4,45.2,33.8,
小中高校生別×男女別,高校生-全体,回答者数（人）,1819,213,110,731,765,43
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,11.7,6.0,40.2,42.1,
小中高校生別×男女別,高校生-男子,回答者数（人）,802,114,48,317,323,19
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,14.2,6.0,39.5,40.3,
小中高校生別×男女別,高校生-女子,回答者数（人）,1017,99,62,414,442,24
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,9.7,6.1,40.7,43.5,
