,,,問12.あなたがルールやマナーを守ることについて、最も良い影響のあった人や、良い見本となった人を選んでください（複数回答）／合計,先輩,地域の大人,芸能人やスポーツ選手,マンガやアニメのキャラクター,その他,不明
全体,,回答者数（人）,4624,1366,726,1201,851,205,537
全体,,構成比（％）,100.0,29.5,15.7,26.0,18.4,4.4,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,352,92,65,87,60,15,38
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,26.1,18.5,24.7,17.0,4.3,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,153,27,31,30,24,5,19
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,17.6,20.3,19.6,15.7,3.3,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,190,64,33,55,32,9,18
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,33.7,17.4,28.9,16.8,4.7,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,9,1,1,2,4,1,1
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,11.1,11.1,22.2,44.4,11.1,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,731,217,119,208,110,33,77
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,29.7,16.3,28.5,15.0,4.5,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,350,76,65,101,42,14,34
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,21.7,18.6,28.9,12.0,4.0,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,355,133,50,103,65,19,41
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,37.5,14.1,29.0,18.3,5.4,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,26,8,4,4,3,0,2
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,30.8,15.4,15.4,11.5,0.0,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,416,116,56,96,85,20,54
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,27.9,13.5,23.1,20.4,4.8,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,241,42,39,57,51,19,27
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,17.4,16.2,23.7,21.2,7.9,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,174,73,17,39,34,1,27
