,,,問8(10).電車の中で、友達と大きな声で騒ぐ人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,4997,234,305,1135,3323,164
全体,,構成比（％）,100.0,4.7,6.1,22.7,66.5,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,379,26,25,84,244,11
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,6.9,6.6,22.2,64.4,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,166,9,8,30,119,6
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,5.4,4.8,18.1,71.7,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,203,17,16,49,121,5
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,8.4,7.9,24.1,59.6,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,1,5,4,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,10.0,50.0,40.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,780,35,46,170,529,28
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,4.5,5.9,21.8,67.8,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,367,16,14,68,269,17
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,4.4,3.8,18.5,73.3,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,385,18,30,89,248,11
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,4.7,7.8,23.1,64.4,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,1,2,13,12,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,3.6,7.1,46.4,42.9,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,455,25,23,84,323,15
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,5.5,5.1,18.5,71.0,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,258,15,6,34,203,10
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,5.8,2.3,13.2,78.7,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,196,10,17,49,120,5
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,5.1,8.7,25.0,61.2,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,1,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,100.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,744,24,49,177,494,27
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,3.2,6.6,23.8,66.4,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,301,9,17,47,228,20
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,3.0,5.6,15.6,75.7,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,362,12,29,102,219,7
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,3.3,8.0,28.2,60.5,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,3,3,28,47,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,3.7,3.7,34.6,58.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,796,27,46,206,517,23
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,3.4,5.8,25.9,64.9,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,242,5,8,37,192,10
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,2.1,3.3,15.3,79.3,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,347,17,15,91,224,11
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,4.9,4.3,26.2,64.6,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,207,5,23,78,101,2
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,2.4,11.1,37.7,48.8,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,511,26,40,115,330,20
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,5.1,7.8,22.5,64.6,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,273,10,13,56,194,13
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,3.7,4.8,20.5,71.1,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,226,16,26,54,130,7
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,7.1,11.5,23.9,57.5,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,0,1,5,6,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,8.3,41.7,50.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,696,34,42,160,460,22
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,4.9,6.0,23.0,66.1,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,191,4,8,34,145,12
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,2.1,4.2,17.8,75.9,
