,,,問8(3).授業中、おしゃべりをする人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,5007,540,1249,1694,1524,154
全体,,構成比（％）,100.0,10.8,24.9,33.8,30.4,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,380,48,78,138,116,10
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,12.6,20.5,36.3,30.5,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,165,12,16,63,74,7
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,7.3,9.7,38.2,44.8,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,205,36,61,70,38,3
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,17.6,29.8,34.1,18.5,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,1,5,4,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,10.0,50.0,40.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,782,82,179,267,254,26
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,10.5,22.9,34.1,32.5,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,366,27,73,108,158,18
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,7.4,19.9,29.5,43.2,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,388,53,98,143,94,8
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,13.7,25.3,36.9,24.2,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,2,8,16,2,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,7.1,28.6,57.1,7.1,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,454,52,102,168,132,16
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,11.5,22.5,37.0,29.1,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,258,23,49,94,92,10
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,8.9,19.0,36.4,35.7,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,195,28,53,74,40,6
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,14.4,27.2,37.9,20.5,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,1,0,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,100.0,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,745,80,198,255,212,26
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,10.7,26.6,34.2,28.5,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,304,32,63,98,111,17
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,10.5,20.7,32.2,36.5,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,360,40,104,128,88,9
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,11.1,28.9,35.6,24.4,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,8,31,29,13,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,9.9,38.3,35.8,16.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,799,88,234,250,227,20
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,11.0,29.3,31.3,28.4,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,243,14,39,88,102,9
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,5.8,16.0,36.2,42.0,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,350,50,103,108,89,8
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,14.3,29.4,30.9,25.4,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,206,24,92,54,36,3
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,11.7,44.7,26.2,17.5,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,511,40,121,191,159,20
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,7.8,23.7,37.4,31.1,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,273,9,53,99,112,13
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,3.3,19.4,36.3,41.0,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,226,28,64,87,47,7
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,12.4,28.3,38.5,20.8,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,3,4,5,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,25.0,33.3,41.7,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,696,79,183,224,210,22
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,11.4,26.3,32.2,30.2,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,192,13,32,50,97,11
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,6.8,16.7,26.0,50.5,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,341,47,95,112,87,4
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,13.8,27.9,32.8,25.5,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,163,19,56,62,26,7
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,11.7,34.4,38.0,16.0,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,640,71,154,201,214,14
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,11.1,24.1,31.4,33.4,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,296,22,48,89,137,9
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,7.4,16.2,30.1,46.3,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,264,45,80,76,63,4
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,17.0,30.3,28.8,23.9,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,80,4,26,36,14,1
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,5.0,32.5,45.0,17.5,
