,,,問11(1).それらの活動では、あなたは親や家族と一緒に参加したことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
全体,,回答者数（人）,4007,957,653,1231,1166,37,2724
全体,,構成比（％）,100.0,23.9,16.3,30.7,29.1,,
小中高校生別×男女別,小学生-全体,回答者数（人）,1431,261,217,483,470,21,842
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,18.2,15.2,33.8,32.8,,
小中高校生別×男女別,小学生-男子,回答者数（人）,765,157,131,251,226,15,402
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,20.5,17.1,32.8,29.5,,
小中高校生別×男女別,小学生-女子,回答者数（人）,666,104,86,232,244,6,440
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,15.6,12.9,34.8,36.6,,
小中高校生別×男女別,中学生-全体,回答者数（人）,1536,429,270,423,414,12,970
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,27.9,17.6,27.5,27.0,,
小中高校生別×男女別,中学生-男子,回答者数（人）,778,235,161,189,193,7,492
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,30.2,20.7,24.3,24.8,,
小中高校生別×男女別,中学生-女子,回答者数（人）,758,194,109,234,221,5,478
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,25.6,14.4,30.9,29.2,,
小中高校生別×男女別,高校生-全体,回答者数（人）,990,253,161,309,267,4,868
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,25.6,16.3,31.2,27.0,,
小中高校生別×男女別,高校生-男子,回答者数（人）,434,131,85,114,104,3,384
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,30.2,19.6,26.3,24.0,,
小中高校生別×男女別,高校生-女子,回答者数（人）,556,122,76,195,163,1,484
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,21.9,13.7,35.1,29.3,,
