,,,問10.あなたは地域活動に参加していますか、もしくは、参加していましたか／合計,参加している,以前、参加していた,今も以前も参加していない,不明
全体,,回答者数（人）,4736,1637,1532,1567,425
全体,,構成比（％）,100.0,34.6,32.3,33.1,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,346,119,115,112,44
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,34.4,33.2,32.4,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,145,71,35,39,27
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,49.0,24.1,26.9,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,191,47,77,67,17
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,24.6,40.3,35.1,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,1,3,6,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,10.0,30.0,60.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,743,276,246,221,65
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,37.1,33.1,29.7,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,345,164,86,95,39
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,47.5,24.9,27.5,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,372,109,149,114,24
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,29.3,40.1,30.6,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,26,3,11,12,2
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,11.5,42.3,46.2,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,419,160,110,149,51
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,38.2,26.3,35.6,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,242,108,62,72,26
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,44.6,25.6,29.8,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,176,52,48,76,25
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,29.5,27.3,43.2,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,1,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,100.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,715,276,237,202,56
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,38.6,33.1,28.3,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,289,170,55,64,32
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,58.8,19.0,22.1,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,347,106,139,102,22
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,30.5,40.1,29.4,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,79,0,43,36,2
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,0.0,54.4,45.6,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,753,190,243,320,66
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,25.2,32.3,42.5,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,226,103,45,78,26
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,45.6,19.9,34.5,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,327,75,108,144,31
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,22.9,33.0,44.0,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,200,12,90,98,9
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,6.0,45.0,49.0,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,493,200,172,121,38
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,40.6,34.9,24.5,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,260,125,67,68,26
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,48.1,25.8,26.2,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,221,75,96,50,12
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,33.9,43.4,22.6,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,0,9,3,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,0.0,75.0,25.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,664,192,224,248,54
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,28.9,33.7,37.3,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,179,85,38,56,24
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,47.5,21.2,31.3,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,323,92,121,110,22
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,28.5,37.5,34.1,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,162,15,65,82,8
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,9.3,40.1,50.6,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,603,224,185,194,51
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,37.1,30.7,32.2,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,278,146,38,94,27
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,52.5,13.7,33.8,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,249,76,99,74,19
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,30.5,39.8,29.7,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,76,2,48,26,5
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,2.6,63.2,34.2,
