,,,問7(9).困っている人がいるときには、助けてあげる／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,5104,2173,2254,533,144,57
全体,,構成比（％）,100.0,42.6,44.2,10.4,2.8,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,380,155,181,34,10,10
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,40.8,47.6,8.9,2.6,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,165,75,73,9,8,7
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,45.5,44.2,5.5,4.8,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,205,75,104,24,2,3
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,36.6,50.7,11.7,1.0,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,5,4,1,0,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,50.0,40.0,10.0,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,799,409,308,68,14,9
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,51.2,38.5,8.5,1.8,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,381,197,148,30,6,3
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,51.7,38.8,7.9,1.6,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,390,204,143,35,8,6
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,52.3,36.7,9.0,2.1,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,8,17,3,0,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,28.6,60.7,10.7,0.0,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,462,193,206,48,15,8
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,41.8,44.6,10.4,3.2,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,263,119,107,27,10,5
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,45.2,40.7,10.3,3.8,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,198,73,99,21,5,3
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,36.9,50.0,10.6,2.5,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,1,0,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,100.0,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,762,293,359,92,18,9
