,,,問9(10).電車の中で、友達と大きな声で騒いだ／合計,まったくない,1回ある,数回ある,何度もある,不明
全体,,回答者数（人）,4997,3809,624,468,96,164
全体,,構成比（％）,100.0,76.2,12.5,9.4,1.9,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,376,275,46,41,14,14
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,73.1,12.2,10.9,3.7,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,163,139,14,9,1,9
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,85.3,8.6,5.5,0.6,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,203,130,30,31,12,5
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,64.0,14.8,15.3,5.9,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,6,2,1,1,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,60.0,20.0,10.0,10.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,782,587,89,91,15,26
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,75.1,11.4,11.6,1.9,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,368,312,31,24,1,16
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,84.8,8.4,6.5,0.3,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,386,264,51,59,12,10
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,68.4,13.2,15.3,3.1,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,11,7,8,2,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,39.3,25.0,28.6,7.1,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,453,359,55,30,9,17
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,79.2,12.1,6.6,2.0,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,257,218,27,9,3,11
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,84.8,10.5,3.5,1.2,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,195,140,28,21,6,6
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,71.8,14.4,10.8,3.1,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,1,0,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,100.0,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,746,582,88,68,8,25
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,78.0,11.8,9.1,1.1,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,303,264,25,12,2,18
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,87.1,8.3,4.0,0.7,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,363,265,45,47,6,6
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,73.0,12.4,12.9,1.7,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,80,53,18,9,0,1
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,66.3,22.5,11.3,0.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,800,617,99,74,10,19
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,77.1,12.4,9.3,1.3,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,243,215,20,6,2,9
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,88.5,8.2,2.5,0.8,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,350,266,45,35,4,8
