,,,問8(8).決められた場所以外に自転車を置く人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,5003,704,1219,1646,1434,158
全体,,構成比（％）,100.0,14.1,24.4,32.9,28.7,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,381,87,93,123,78,9
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,22.8,24.4,32.3,20.5,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,166,21,26,63,56,6
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,12.7,15.7,38.0,33.7,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,205,66,61,59,19,3
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,32.2,29.8,28.8,9.3,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,6,1,3,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,60.0,10.0,30.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,779,98,192,262,227,29
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,12.6,24.6,33.6,29.1,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,366,33,66,126,141,18
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,9.0,18.0,34.4,38.5,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,385,60,113,128,84,11
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,15.6,29.4,33.2,21.8,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,5,13,8,2,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,17.9,46.4,28.6,7.1,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,455,75,129,140,111,15
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,16.5,28.4,30.8,24.4,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,259,34,57,82,86,9
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,13.1,22.0,31.7,33.2,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,195,41,71,58,25,6
