,,,問13.子供たちみんなが社会のルールやマナーを守って生活するようになるためには、何が必要だと思いますか(2位)／合計,地域の大人へきちんとあいさつをすること,ルールやマナー違反を注意する大人がいること,周(まわ)りの友達がルールやマナーを守っていること,親がルールやマナーを守っていること,地域の大人がルールやマナーを守っていること,ルールやマナーを守るように宣伝すること,一人一人が自覚すること
全体,,回答者数（人）,6152,565,1109,761,844,909,265,857
全体,,構成比（％）,100.0,9.2,18.0,12.4,13.7,14.8,4.3,13.9
小中高校生別×男女別,小学生-全体,回答者数（人）,2071,243,338,253,195,211,134,294
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,11.7,16.3,12.2,9.4,10.2,6.5,14.2
小中高校生別×男女別,小学生-男子,回答者数（人）,1037,120,182,138,81,102,67,160
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,11.6,17.6,13.3,7.8,9.8,6.5,15.4
小中高校生別×男女別,小学生-女子,回答者数（人）,1034,123,156,115,114,109,67,134
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,11.9,15.1,11.1,11.0,10.5,6.5,13.0
小中高校生別×男女別,中学生-全体,回答者数（人）,2272,216,420,279,301,313,97,349
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,9.5,18.5,12.3,13.2,13.8,4.3,15.4
小中高校生別×男女別,中学生-男子,回答者数（人）,1128,102,244,154,130,142,51,157
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,9.0,21.6,13.7,11.5,12.6,4.5,13.9
小中高校生別×男女別,中学生-女子,回答者数（人）,1144,114,176,125,171,171,46,192
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,10.0,15.4,10.9,14.9,14.9,4.0,16.8
小中高校生別×男女別,高校生-全体,回答者数（人）,1735,97,342,222,337,376,25,207
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,5.6,19.7,12.8,19.4,21.7,1.4,11.9
小中高校生別×男女別,高校生-男子,回答者数（人）,761,42,155,104,146,148,11,88
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,5.5,20.4,13.7,19.2,19.4,1.4,11.6
小中高校生別×男女別,高校生-女子,回答者数（人）,974,55,187,118,191,228,14,119
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,5.6,19.2,12.1,19.6,23.4,1.4,12.2
