,,,問9(6).そうじをさぼった／合計,まったくない,1回ある,数回ある,何度もある,不明
全体,,回答者数（人）,4999,3306,779,722,192,162
全体,,構成比（％）,100.0,66.1,15.6,14.4,3.8,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,375,272,44,43,16,15
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,72.5,11.7,11.5,4.3,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,163,131,13,16,3,9
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,80.4,8.0,9.8,1.8,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,202,133,29,27,13,6
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,65.8,14.4,13.4,6.4,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,8,2,0,0,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,80.0,20.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,785,550,116,101,18,23
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,70.1,14.8,12.9,2.3,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,368,263,58,38,9,16
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,71.5,15.8,10.3,2.4,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,389,265,56,61,7,7
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,68.1,14.4,15.7,1.8,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,22,2,2,2,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,78.6,7.1,7.1,7.1,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,457,288,77,78,14,13
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,63.0,16.8,17.1,3.1,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,260,172,46,38,4,8
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,66.2,17.7,14.6,1.5,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,196,116,31,39,10,5
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,59.2,15.8,19.9,5.1,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,1,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,100.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,748,512,126,89,21,23
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,68.4,16.8,11.9,2.8,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,304,224,45,26,9,17
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,73.7,14.8,8.6,3.0,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,363,234,67,50,12,6
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,64.5,18.5,13.8,3.3,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,54,14,13,0,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,66.7,17.3,16.0,0.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,798,486,120,145,47,21
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,60.9,15.0,18.2,5.9,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,242,143,49,43,7,10
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,59.1,20.2,17.8,2.9,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,349,220,47,56,26,9
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,63.0,13.5,16.0,7.4,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,207,123,24,46,14,2
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,59.4,11.6,22.2,6.8,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,507,313,108,78,8,24
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,61.7,21.3,15.4,1.6,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,271,177,54,35,5,15
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,65.3,19.9,12.9,1.8,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,224,128,51,42,3,9
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,57.1,22.8,18.8,1.3,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,8,3,1,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,66.7,25.0,8.3,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,694,487,93,87,27,24
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,70.2,13.4,12.5,3.9,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,190,129,29,23,9,13
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,67.9,15.3,12.1,4.7,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,341,238,46,47,10,4
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,69.8,13.5,13.8,2.9,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,163,120,18,17,8,7
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,73.6,11.0,10.4,4.9,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,635,398,95,101,41,19
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,62.7,15.0,15.9,6.5,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,292,194,51,36,11,13
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,66.4,17.5,12.3,3.8,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,264,151,35,55,23,4
