,,,問6(5).仲間はずれになるくらいなら一緒に悪いことをしてしまう／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,6673,282,1088,2283,3020,95
全体,,構成比（％）,100.0,4.2,16.3,34.2,45.3,
小中高校生別×男女別,小学生-全体,回答者数（人）,2242,97,232,603,1310,52
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,4.3,10.3,26.9,58.4,
小中高校生別×男女別,小学生-男子,回答者数（人）,1153,52,119,331,651,29
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,4.5,10.3,28.7,56.5,
小中高校生別×男女別,小学生-女子,回答者数（人）,1089,45,113,272,659,23
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,4.1,10.4,25.0,60.5,
小中高校生別×男女別,中学生-全体,回答者数（人）,2490,138,481,846,1025,28
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,5.5,19.3,34.0,41.2,
小中高校生別×男女別,中学生-男子,回答者数（人）,1263,84,250,429,500,14
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,6.7,19.8,34.0,39.6,
小中高校生別×男女別,中学生-女子,回答者数（人）,1227,54,231,417,525,14
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,4.4,18.8,34.0,42.8,
小中高校生別×男女別,高校生-全体,回答者数（人）,1849,43,360,810,636,13
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,2.3,19.5,43.8,34.4,
小中高校生別×男女別,高校生-男子,回答者数（人）,812,21,176,358,257,9
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,2.6,21.7,44.1,31.7,
小中高校生別×男女別,高校生-女子,回答者数（人）,1037,22,184,452,379,4
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,2.1,17.7,43.6,36.5,
