,,,問6(9).何か問題をおこして近所のうわさになるのはいやだ／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,5094,3406,829,434,425,67
全体,,構成比（％）,100.0,66.9,16.3,8.5,8.3,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,381,240,57,43,41,9
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,63.0,15.0,11.3,10.8,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,167,115,18,14,20,5
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,68.9,10.8,8.4,12.0,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,204,119,37,28,20,4
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,58.3,18.1,13.7,9.8,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,6,2,1,1,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,60.0,20.0,10.0,10.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,800,548,126,58,68,8
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,68.5,15.8,7.3,8.5,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,380,279,44,23,34,4
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,73.4,11.6,6.1,8.9,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,392,252,72,35,33,4
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,64.3,18.4,8.9,8.4,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,17,10,0,1,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,60.7,35.7,0.0,3.6,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,463,342,64,31,26,7
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,73.9,13.8,6.7,5.6,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,263,199,28,16,20,5
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,75.7,10.6,6.1,7.6,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,199,142,36,15,6,2
