,,,問6(9).何か問題をおこして近所のうわさになるのはいやだ／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,6690,4292,1239,617,542,78
全体,,構成比（％）,100.0,64.2,18.5,9.2,8.1,
小中高校生別×男女別,小学生-全体,回答者数（人）,2256,1618,272,149,217,38
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,71.7,12.1,6.6,9.6,
小中高校生別×男女別,小学生-男子,回答者数（人）,1157,765,150,103,139,25
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,66.1,13.0,8.9,12.0,
小中高校生別×男女別,小学生-女子,回答者数（人）,1099,853,122,46,78,13
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,77.6,11.1,4.2,7.1,
小中高校生別×男女別,中学生-全体,回答者数（人）,2490,1616,444,239,191,28
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,64.9,17.8,9.6,7.7,
小中高校生別×男女別,中学生-男子,回答者数（人）,1262,787,218,144,113,15
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,62.4,17.3,11.4,9.0,
小中高校生別×男女別,中学生-女子,回答者数（人）,1228,829,226,95,78,13
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,67.5,18.4,7.7,6.4,
小中高校生別×男女別,高校生-全体,回答者数（人）,1851,998,506,226,121,11
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,53.9,27.3,12.2,6.5,
小中高校生別×男女別,高校生-男子,回答者数（人）,814,419,225,109,61,7
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,51.5,27.6,13.4,7.5,
小中高校生別×男女別,高校生-女子,回答者数（人）,1037,579,281,117,60,4
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,55.8,27.1,11.3,5.8,
