,,,問11(3).それらの活動では、あなたは自分のためになったことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
全体,,回答者数（人）,3139,268,548,1036,1287,30,1992
全体,,構成比（％）,100.0,8.5,17.5,33.0,41.0,,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,232,20,55,84,73,2,156
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,8.6,23.7,36.2,31.5,,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,105,8,24,30,43,1,66
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,7.6,22.9,28.6,41.0,,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,123,11,30,52,30,1,84
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,8.9,24.4,42.3,24.4,,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,4,1,1,2,0,0,6
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,25.0,25.0,50.0,0.0,,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,519,39,77,158,245,3,286
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,7.5,14.8,30.4,47.2,,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,249,16,37,74,122,1,134
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,6.4,14.9,29.7,49.0,,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,256,22,39,77,118,2,138
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,8.6,15.2,30.1,46.1,,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,14,1,1,7,5,0,14
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,7.1,7.1,50.0,35.7,,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,266,20,52,97,97,4,200
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,7.5,19.5,36.5,36.5,,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,168,8,30,62,68,2,98
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,4.8,17.9,36.9,40.5,,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,98,12,22,35,29,2,101
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,12.2,22.4,35.7,29.6,,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,0,0,0,0,0,0,1
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,0.0,0.0,0.0,0.0,0.0,,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,511,41,90,166,214,2,258
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,8.0,17.6,32.5,41.9,,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,223,18,38,65,102,2,96
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,8.1,17.0,29.1,45.7,,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,245,20,38,84,103,0,124
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,8.2,15.5,34.3,42.0,,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,43,3,14,17,9,0,38
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,7.0,32.6,39.5,20.9,,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,427,40,65,138,184,6,386
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,9.4,15.2,32.3,43.1,,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,143,10,22,47,64,5,104
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,7.0,15.4,32.9,44.8,,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,182,17,28,50,87,1,175
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,9.3,15.4,27.5,47.8,,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,102,13,15,41,33,0,107
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,12.7,14.7,40.2,32.4,,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,367,29,47,127,164,5,159
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,7.9,12.8,34.6,44.7,,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,188,16,27,65,80,4,94
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,8.5,14.4,34.6,42.6,,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,170,12,18,58,82,1,62
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,7.1,10.6,34.1,48.2,,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,9,1,2,4,2,0,3
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,11.1,22.2,44.4,22.2,,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,412,32,92,128,160,4,302
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,7.8,22.3,31.1,38.8,,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,119,9,22,32,56,4,80
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,7.6,18.5,26.9,47.1,,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,213,18,52,70,73,0,132
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,8.5,24.4,32.9,34.3,,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,80,5,18,26,31,0,90
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,6.3,22.5,32.5,38.8,,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,405,47,70,138,150,4,245
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,11.6,17.3,34.1,37.0,,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,182,16,28,58,80,2,121
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,8.8,15.4,31.9,44.0,,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,173,29,28,59,57,2,93
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,16.8,16.2,34.1,32.9,,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,50,2,14,21,13,0,31
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,4.0,28.0,42.0,26.0,,
