,,,問13.子供たちみんなが社会のルールやマナーを守って生活するようになるためには、何が必要だと思いますか(1位)／合計,地域の大人へきちんとあいさつをすること,ルールやマナー違反を注意する大人がいること,周(まわ)りの友達がルールやマナーを守っていること,親がルールやマナーを守っていること,地域の大人がルールやマナーを守っていること,ルールやマナーを守るように宣伝すること,一人一人が自覚すること
全体,,回答者数（人）,4711,892,462,289,393,412,82,1740
全体,,構成比（％）,100.0,18.9,9.8,6.1,8.3,8.7,1.7,36.9
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,350,68,28,30,31,31,7,124
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,19.4,8.0,8.6,8.9,8.9,2.0,35.4
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,151,32,14,15,9,7,5,51
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,21.2,9.3,9.9,6.0,4.6,3.3,33.8
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,189,35,13,14,21,24,2,67
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,18.5,6.9,7.4,11.1,12.7,1.1,35.4
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,1,1,1,1,0,0,6
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,10.0,10.0,10.0,10.0,0.0,0.0,60.0
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,740,147,80,37,47,66,11,270
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,19.9,10.8,5.0,6.4,8.9,1.5,36.5
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,353,86,40,16,19,31,8,105
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,24.4,11.3,4.5,5.4,8.8,2.3,29.7
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,360,58,37,19,25,29,3,158
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,16.1,10.3,5.3,6.9,8.1,0.8,43.9
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,27,3,3,2,3,6,0,7
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,11.1,11.1,7.4,11.1,22.2,0.0,25.9
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,430,78,41,30,28,32,12,168
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,18.1,9.5,7.0,6.5,7.4,2.8,39.1
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,250,44,27,20,16,16,9,88
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,17.6,10.8,8.0,6.4,6.4,3.6,35.2
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,179,34,14,10,12,16,3,79
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,19.0,7.8,5.6,6.7,8.9,1.7,44.1
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,0,0,0,0,1
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,717,91,76,39,69,67,15,294
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,12.7,10.6,5.4,9.6,9.3,2.1,41.0
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,299,32,38,10,20,30,13,115
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,10.7,12.7,3.3,6.7,10.0,4.3,38.5
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,342,50,32,25,28,32,1,150
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,14.6,9.4,7.3,8.2,9.4,0.3,43.9
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,76,9,6,4,21,5,1,29
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,11.8,7.9,5.3,27.6,6.6,1.3,38.2
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,743,152,75,44,85,81,9,240
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,20.5,10.1,5.9,11.4,10.9,1.2,32.3
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,224,56,29,14,13,18,4,62
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,25.0,12.9,6.3,5.8,8.0,1.8,27.7
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,323,63,32,20,26,33,3,125
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,19.5,9.9,6.2,8.0,10.2,0.9,38.7
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,196,33,14,10,46,30,2,53
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,16.8,7.1,5.1,23.5,15.3,1.0,27.0
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,485,105,32,34,33,29,9,206
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,21.6,6.6,7.0,6.8,6.0,1.9,42.5
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,253,62,17,24,15,13,3,96
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,24.5,6.7,9.5,5.9,5.1,1.2,37.9
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,221,42,14,10,17,15,6,105
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,19.0,6.3,4.5,7.7,6.8,2.7,47.5
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,11,1,1,0,1,1,0,5
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,9.1,9.1,0.0,9.1,9.1,0.0,45.5
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,655,133,71,45,49,60,7,235
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,20.3,10.8,6.9,7.5,9.2,1.1,35.9
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,182,41,27,15,6,9,4,56
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,22.5,14.8,8.2,3.3,4.9,2.2,30.8
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,315,60,32,16,19,29,2,133
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,19.0,10.2,5.1,6.0,9.2,0.6,42.2
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,158,32,12,14,24,22,1,46
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,20.3,7.6,8.9,15.2,13.9,0.6,29.1
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,591,118,59,30,51,46,12,203
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,20.0,10.0,5.1,8.6,7.8,2.0,34.3
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,280,55,34,13,16,15,7,93
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,19.6,12.1,4.6,5.7,5.4,2.5,33.2
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,236,55,17,13,23,19,5,84
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,23.3,7.2,5.5,9.7,8.1,2.1,35.6
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,75,8,8,4,12,12,0,26
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,10.7,10.7,5.3,16.0,16.0,0.0,34.7
