,,,問7(4).自分でできることは、自分でするように努めている／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,5084,2268,2114,602,100,77
全体,,構成比（％）,100.0,44.6,41.6,11.8,2.0,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,379,168,159,43,9,11
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,44.3,42.0,11.3,2.4,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,164,81,58,20,5,8
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,49.4,35.4,12.2,3.0,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,205,83,95,23,4,3
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,40.5,46.3,11.2,2.0,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,4,6,0,0,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,40.0,60.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,797,417,284,82,14,11
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,52.3,35.6,10.3,1.8,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,380,205,132,35,8,4
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,53.9,34.7,9.2,2.1,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,389,204,135,44,6,7
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,52.4,34.7,11.3,1.5,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,8,17,3,0,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,28.6,60.7,10.7,0.0,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,462,196,206,50,10,8
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,42.4,44.6,10.8,2.2,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,262,123,99,31,9,6
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,46.9,37.8,11.8,3.4,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,199,73,106,19,1,2
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,36.7,53.3,9.5,0.5,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,1,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,100.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,758,319,340,87,12,13
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,42.1,44.9,11.5,1.6,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,312,143,131,33,5,9
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,45.8,42.0,10.6,1.6,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,365,145,171,42,7,4
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,39.7,46.8,11.5,1.9,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,31,38,12,0,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,38.3,46.9,14.8,0.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,812,369,334,94,15,7
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,45.4,41.1,11.6,1.8,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,250,126,94,24,6,2
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,50.4,37.6,9.6,2.4,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,353,168,135,43,7,5
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,47.6,38.2,12.2,2.0,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,75,105,27,2,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,35.9,50.2,12.9,1.0,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,523,190,232,92,9,8
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,36.3,44.4,17.6,1.7,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,278,113,111,50,4,8
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,40.6,39.9,18.0,1.4,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,233,73,115,40,5,0
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,31.3,49.4,17.2,2.1,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,4,6,2,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,33.3,50.0,16.7,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,710,331,296,70,13,8
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,46.6,41.7,9.9,1.8,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,201,99,74,22,6,2
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,49.3,36.8,10.9,3.0,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,341,160,143,32,6,4
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,46.9,41.9,9.4,1.8,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,168,72,79,16,1,2
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,42.9,47.0,9.5,0.6,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,643,278,263,84,18,11
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,43.2,40.9,13.1,2.8,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,298,134,115,37,12,7
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,45.0,38.6,12.4,4.0,
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,264,118,109,31,6,4
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,44.7,41.3,11.7,2.3,
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,81,26,39,16,0,0
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,32.1,48.1,19.8,0.0,
