,,,問8(2).先生の指示に従わない人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,5005,324,749,1802,2130,156
全体,,構成比（％）,100.0,6.5,15.0,36.0,42.6,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,380,33,51,136,160,10
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,8.7,13.4,35.8,42.1,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,165,12,11,50,92,7
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,7.3,6.7,30.3,55.8,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,205,20,38,83,64,3
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,9.8,18.5,40.5,31.2,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,1,2,3,4,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,10.0,20.0,30.0,40.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,780,50,111,247,372,28
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,6.4,14.2,31.7,47.7,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,365,15,30,90,230,19
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,4.1,8.2,24.7,63.0,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,387,34,77,139,137,9
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,8.8,19.9,35.9,35.4,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,1,4,18,5,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,3.6,14.3,64.3,17.9,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,456,35,60,169,192,14
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,7.7,13.2,37.1,42.1,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,259,22,21,81,135,9
