,,,問7(3).自分が悪いと分かったら、素直に謝ることができる／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,6691,3375,2609,557,150,77
全体,,構成比（％）,100.0,50.4,39.0,8.3,2.2,
小中高校生別×男女別,小学生-全体,回答者数（人）,2253,1144,838,204,67,41
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,50.8,37.2,9.1,3.0,
小中高校生別×男女別,小学生-男子,回答者数（人）,1154,536,467,104,47,28
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,46.4,40.5,9.0,4.1,
小中高校生別×男女別,小学生-女子,回答者数（人）,1099,608,371,100,20,13
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,55.3,33.8,9.1,1.8,
小中高校生別×男女別,中学生-全体,回答者数（人）,2491,1287,925,220,59,27
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,51.7,37.1,8.8,2.4,
小中高校生別×男女別,中学生-男子,回答者数（人）,1266,648,469,120,29,11
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,51.2,37.0,9.5,2.3,
小中高校生別×男女別,中学生-女子,回答者数（人）,1225,639,456,100,30,16
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,52.2,37.2,8.2,2.4,
小中高校生別×男女別,高校生-全体,回答者数（人）,1854,895,820,120,19,8
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,48.3,44.2,6.5,1.0,
小中高校生別×男女別,高校生-男子,回答者数（人）,816,375,366,63,12,5
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,46.0,44.9,7.7,1.5,
小中高校生別×男女別,高校生-女子,回答者数（人）,1038,520,454,57,7,3
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,50.1,43.7,5.5,0.7,
