,,,問7(7).親や先生など大人がいうことは、聞かないようにしている／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,5098,112,442,2037,2507,63
全体,,構成比（％）,100.0,2.2,8.7,40.0,49.2,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,381,13,40,158,170,9
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,3.4,10.5,41.5,44.6,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,165,2,9,50,104,7
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,1.2,5.5,30.3,63.0,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,206,11,30,102,63,2
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,5.3,14.6,49.5,30.6,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,1,6,3,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,10.0,60.0,30.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,797,16,52,315,414,11
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,2.0,6.5,39.5,51.9,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,379,4,12,100,263,5
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,1.1,3.2,26.4,69.4,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,390,11,39,195,145,6
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,2.8,10.0,50.0,37.2,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,1,1,20,6,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,3.6,3.6,71.4,21.4,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,465,7,48,159,251,5
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,1.5,10.3,34.2,54.0,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,265,3,21,64,177,3
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,1.1,7.9,24.2,66.8,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,199,4,27,94,74,2
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,2.0,13.6,47.2,37.2,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,1,0,0
