,,,問9(5).集会や体育など整列しなくてはいけないときに、列に並ばなかった／合計,まったくない,1回ある,数回ある,何度もある,不明
全体,,回答者数（人）,5001,4082,502,335,82,160
全体,,構成比（％）,100.0,81.6,10.0,6.7,1.6,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,378,306,39,21,12,12
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,81.0,10.3,5.6,3.2,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,164,133,20,8,3,8
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,81.1,12.2,4.9,1.8,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,204,164,19,12,9,4
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,80.4,9.3,5.9,4.4,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,9,0,1,0,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,90.0,0.0,10.0,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,782,648,77,49,8,26
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,82.9,9.8,6.3,1.0,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,367,300,47,18,2,17
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,81.7,12.8,4.9,0.5,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,387,326,28,28,5,9
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,84.2,7.2,7.2,1.3,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,22,2,3,1,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,78.6,7.1,10.7,3.6,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,457,367,54,32,4,13
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,80.3,11.8,7.0,0.9,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,260,214,31,14,1,8
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,82.3,11.9,5.4,0.4,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,196,152,23,18,3,5
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,77.6,11.7,9.2,1.5,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,1,0,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,100.0,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,744,595,73,66,10,27
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,80.0,9.8,8.9,1.3,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,304,256,25,19,4,17
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,84.2,8.2,6.3,1.3,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,359,275,40,40,4,10
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,76.6,11.1,11.1,1.1,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,64,8,7,2,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,79.0,9.9,8.6,2.5,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,800,652,76,57,15,19
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,81.5,9.5,7.1,1.9,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,244,186,35,21,2,8
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,76.2,14.3,8.6,0.8,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,350,304,27,14,5,8
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,86.9,7.7,4.0,1.4,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,206,162,14,22,8,3
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,78.6,6.8,10.7,3.9,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,510,404,66,36,4,21
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,79.2,12.9,7.1,0.8,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,272,199,46,25,2,14
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,73.2,16.9,9.2,0.7,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,226,194,19,11,2,7
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,85.8,8.4,4.9,0.9,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,11,1,0,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,91.7,8.3,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,693,565,66,47,15,25
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,81.5,9.5,6.8,2.2,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,190,144,27,15,4,13
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,75.8,14.2,7.9,2.1,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,340,290,31,12,7,5
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,85.3,9.1,3.5,2.1,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,163,131,8,20,4,7
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,80.4,4.9,12.3,2.5,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,637,545,51,27,14,17
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,85.6,8.0,4.2,2.2,
