,,,問7(3).自分が悪いと分かったら、素直に謝ることができる／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,5096,2612,1914,440,130,65
全体,,構成比（％）,100.0,51.3,37.6,8.6,2.6,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,380,211,116,35,18,10
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,55.5,30.5,9.2,4.7,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,166,97,45,15,9,6
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,58.4,27.1,9.0,5.4,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,204,108,69,18,9,4
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,52.9,33.8,8.8,4.4,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,6,2,2,0,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,60.0,20.0,20.0,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,799,437,277,67,18,9
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,54.7,34.7,8.4,2.3,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,380,197,140,35,8,4
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,51.8,36.8,9.2,2.1,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,391,229,121,31,10,5
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,58.6,30.9,7.9,2.6,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,11,16,1,0,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,39.3,57.1,3.6,0.0,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,464,216,193,39,16,6
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,46.6,41.6,8.4,3.4,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,264,118,112,21,13,4
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,44.7,42.4,8.0,4.9,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,199,98,80,18,3,2
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,49.2,40.2,9.0,1.5,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,1,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,100.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,762,381,298,70,13,9
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,50.0,39.1,9.2,1.7,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,314,148,123,34,9,7
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,47.1,39.2,10.8,2.9,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,367,196,135,32,4,2
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,53.4,36.8,8.7,1.1,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,37,40,4,0,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,45.7,49.4,4.9,0.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,809,428,296,68,17,10
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,52.9,36.6,8.4,2.1,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,249,140,83,20,6,3
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,56.2,33.3,8.0,2.4,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,351,186,121,34,10,7
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,53.0,34.5,9.7,2.8,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,209,102,92,14,1,0
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,48.8,44.0,6.7,0.5,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,525,229,220,56,20,6
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,43.6,41.9,10.7,3.8,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,281,117,122,31,11,5
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,41.6,43.4,11.0,3.9,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,232,107,91,25,9,1
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,46.1,39.2,10.8,3.9,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,12,5,7,0,0,0
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,41.7,58.3,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,713,385,265,46,17,5
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,54.0,37.2,6.5,2.4,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,202,114,67,14,7,1
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,56.4,33.2,6.9,3.5,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,343,170,135,29,9,2
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,49.6,39.4,8.5,2.6,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,168,101,63,3,1,2
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,60.1,37.5,1.8,0.6,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,644,325,249,59,11,10
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,50.5,38.7,9.2,1.7,
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,297,158,107,29,3,8
