,,,問8(6).そうじをさぼる人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,6578,509,1129,2247,2693,190
全体,,構成比（％）,100.0,7.7,17.2,34.2,40.9,
小中高校生別×男女別,小学生-全体,回答者数（人）,2194,129,228,593,1244,100
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,5.9,10.4,27.0,56.7,
小中高校生別×男女別,小学生-男子,回答者数（人）,1109,94,131,319,565,73
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,8.5,11.8,28.8,50.9,
小中高校生別×男女別,小学生-女子,回答者数（人）,1085,35,97,274,679,27
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,3.2,8.9,25.3,62.6,
小中高校生別×男女別,中学生-全体,回答者数（人）,2469,234,441,877,917,49
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,9.5,17.9,35.5,37.1,
小中高校生別×男女別,中学生-男子,回答者数（人）,1244,156,239,408,441,33
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,12.5,19.2,32.8,35.5,
小中高校生別×男女別,中学生-女子,回答者数（人）,1225,78,202,469,476,16
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,6.4,16.5,38.3,38.9,
小中高校生別×男女別,高校生-全体,回答者数（人）,1824,139,453,747,485,38
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,7.6,24.8,41.0,26.6,
小中高校生別×男女別,高校生-男子,回答者数（人）,804,78,218,317,191,17
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,9.7,27.1,39.4,23.8,
小中高校生別×男女別,高校生-女子,回答者数（人）,1020,61,235,430,294,21
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,6.0,23.0,42.2,28.8,
