,,,問8(12).電車内で携帯電話を使って通話する人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,5007,450,773,1574,2210,154
全体,,構成比（％）,100.0,9.0,15.4,31.4,44.1,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,377,42,67,112,156,13
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,11.1,17.8,29.7,41.4,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,163,18,28,38,79,9
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,11.0,17.2,23.3,48.5,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,204,23,38,69,74,4
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,11.3,18.6,33.8,36.3,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,1,1,5,3,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,10.0,10.0,50.0,30.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,784,67,136,238,343,24
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,8.5,17.3,30.4,43.8,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,368,30,62,100,176,16
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,8.2,16.8,27.2,47.8,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,388,35,67,127,159,8
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,9.0,17.3,32.7,41.0,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,2,7,11,8,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,7.1,25.0,39.3,28.6,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,456,51,81,156,168,14
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,11.2,17.8,34.2,36.8,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,259,30,45,84,100,9
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,11.6,17.4,32.4,38.6,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,196,21,36,71,68,5
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,10.7,18.4,36.2,34.7,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,1,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,100.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,746,63,124,219,340,25
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,8.4,16.6,29.4,45.6,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,302,35,48,84,135,19
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,11.6,15.9,27.8,44.7,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,363,28,64,112,159,6
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,7.7,17.6,30.9,43.8,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,0,12,23,46,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,0.0,14.8,28.4,56.8,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,801,49,124,266,362,18
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,6.1,15.5,33.2,45.2,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,244,17,33,75,119,8
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,7.0,13.5,30.7,48.8,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,350,24,46,111,169,8
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,6.9,13.1,31.7,48.3,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,207,8,45,80,74,2
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,3.9,21.7,38.6,35.7,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,511,42,74,181,214,20
