,,,問14(2).あなたの周(まわ)りの友達は、ルールやマナーを守る人が多い／合計,そう思う,ややそう思う,あまりそう思わない,そう思わない,不明
全体,,回答者数（人）,4745,1434,2214,907,190,416
全体,,構成比（％）,100.0,30.2,46.7,19.1,4.0,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,350,101,160,65,24,40
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,28.9,45.7,18.6,6.9,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,151,60,63,21,7,21
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,39.7,41.7,13.9,4.6,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,190,38,93,43,16,18
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,20.0,48.9,22.6,8.4,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,9,3,4,1,1,1
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,33.3,44.4,11.1,11.1,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,741,282,299,126,34,67
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,38.1,40.4,17.0,4.6,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,353,160,144,41,8,31
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,45.3,40.8,11.6,2.3,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,361,111,140,85,25,35
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,30.7,38.8,23.5,6.9,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,27,11,15,0,1,1
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,40.7,55.6,0.0,3.7,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,434,110,203,105,16,36
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,25.3,46.8,24.2,3.7,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,253,70,122,54,7,15
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,27.7,48.2,21.3,2.8,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,180,40,80,51,9,21
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,22.2,44.4,28.3,5.0,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,1,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,100.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,722,195,352,151,24,49
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,27.0,48.8,20.9,3.3,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,306,93,148,58,7,15
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,30.4,48.4,19.0,2.3,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,341,80,167,79,15,28
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,23.5,49.0,23.2,4.4,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,75,22,37,14,2,6
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,29.3,49.3,18.7,2.7,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,757,225,356,142,34,62
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,29.7,47.0,18.8,4.5,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,231,91,103,28,9,21
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,39.4,44.6,12.1,3.9,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,330,90,153,68,19,28
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,27.3,46.4,20.6,5.8,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,196,44,100,46,6,13
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,22.4,51.0,23.5,3.1,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,490,137,258,79,16,41
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,28.0,52.7,16.1,3.3,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,256,79,132,39,6,30
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,30.9,51.6,15.2,2.3,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,223,55,118,40,10,10
