,,,問4(4).友達の悪口を言う人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,6716,374,667,2145,3530,52
全体,,構成比（％）,100.0,5.6,9.9,31.9,52.6,
小中高校生別×男女別,小学生-全体,回答者数（人）,2265,98,121,577,1469,29
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,4.3,5.3,25.5,64.9,
小中高校生別×男女別,小学生-男子,回答者数（人）,1160,76,67,326,691,22
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,6.6,5.8,28.1,59.6,
小中高校生別×男女別,小学生-女子,回答者数（人）,1105,22,54,251,778,7
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,2.0,4.9,22.7,70.4,
小中高校生別×男女別,中学生-全体,回答者数（人）,2505,179,302,841,1183,13
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,7.1,12.1,33.6,47.2,
小中高校生別×男女別,中学生-男子,回答者数（人）,1268,133,186,437,512,9
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,10.5,14.7,34.5,40.4,
小中高校生別×男女別,中学生-女子,回答者数（人）,1237,46,116,404,671,4
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,3.7,9.4,32.7,54.2,
小中高校生別×男女別,高校生-全体,回答者数（人）,1855,91,235,692,837,7
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,4.9,12.7,37.3,45.1,
小中高校生別×男女別,高校生-男子,回答者数（人）,815,65,127,319,304,6
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,8.0,15.6,39.1,37.3,
小中高校生別×男女別,高校生-女子,回答者数（人）,1040,26,108,373,533,1
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,2.5,10.4,35.9,51.3,
