,,,問9(6).そうじをさぼった／合計,まったくない,1回ある,数回ある,何度もある,不明
全体,,回答者数（人）,6567,4319,1036,949,263,201
全体,,構成比（％）,100.0,65.8,15.8,14.5,4.0,
小中高校生別×男女別,小学生-全体,回答者数（人）,2190,1497,369,263,61,104
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,68.4,16.8,12.0,2.8,
小中高校生別×男女別,小学生-男子,回答者数（人）,1111,681,210,174,46,71
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,61.3,18.9,15.7,4.1,
小中高校生別×男女別,小学生-女子,回答者数（人）,1079,816,159,89,15,33
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,75.6,14.7,8.2,1.4,
小中高校生別×男女別,中学生-全体,回答者数（人）,2465,1565,390,397,113,53
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,63.5,15.8,16.1,4.6,
小中高校生別×男女別,中学生-男子,回答者数（人）,1241,725,221,224,71,36
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,58.4,17.8,18.0,5.7,
小中高校生別×男女別,中学生-女子,回答者数（人）,1224,840,169,173,42,17
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,68.6,13.8,14.1,3.4,
小中高校生別×男女別,高校生-全体,回答者数（人）,1821,1203,261,272,85,41
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,66.1,14.3,14.9,4.7,
小中高校生別×男女別,高校生-男子,回答者数（人）,804,505,110,134,55,17
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,62.8,13.7,16.7,6.8,
小中高校生別×男女別,高校生-女子,回答者数（人）,1017,698,151,138,30,24
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,68.6,14.8,13.6,2.9,
