,,,問6(2).悪いことをしても、バレなければよい／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,6693,250,950,2347,3146,75
全体,,構成比（％）,100.0,3.7,14.2,35.1,47.0,
小中高校生別×男女別,小学生-全体,回答者数（人）,2250,47,158,602,1443,44
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,2.1,7.0,26.8,64.1,
小中高校生別×男女別,小学生-男子,回答者数（人）,1154,31,100,345,678,28
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,2.7,8.7,29.9,58.8,
小中高校生別×男女別,小学生-女子,回答者数（人）,1096,16,58,257,765,16
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,1.5,5.3,23.4,69.8,
小中高校生別×男女別,中学生-全体,回答者数（人）,2497,104,379,879,1135,21
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,4.2,15.2,35.2,45.5,
小中高校生別×男女別,中学生-男子,回答者数（人）,1264,83,230,465,486,13
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,6.6,18.2,36.8,38.4,
小中高校生別×男女別,中学生-女子,回答者数（人）,1233,21,149,414,649,8
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,1.7,12.1,33.6,52.6,
小中高校生別×男女別,高校生-全体,回答者数（人）,1854,95,399,834,526,8
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,5.1,21.5,45.0,28.4,
小中高校生別×男女別,高校生-男子,回答者数（人）,816,75,196,340,205,5
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,9.2,24.0,41.7,25.1,
小中高校生別×男女別,高校生-女子,回答者数（人）,1038,20,203,494,321,3
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,1.9,19.6,47.6,30.9,
