,,,問14(3).あなた自身は、ルールやマナーを守る人間だと思う／合計,そう思う,ややそう思う,あまりそう思わない,そう思わない,不明
全体,,回答者数（人）,4746,1624,2418,575,129,415
全体,,構成比（％）,100.0,34.2,50.9,12.1,2.7,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,350,120,169,49,12,40
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,34.3,48.3,14.0,3.4,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,151,65,65,17,4,21
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,43.0,43.0,11.3,2.6,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,189,52,98,31,8,19
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,27.5,51.9,16.4,4.2,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,3,6,1,0,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,30.0,60.0,10.0,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,743,313,343,71,16,65
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,42.1,46.2,9.6,2.2,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,355,165,150,32,8,29
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,46.5,42.3,9.0,2.3,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,361,136,181,36,8,35
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,37.7,50.1,10.0,2.2,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,27,12,12,3,0,1
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,44.4,44.4,11.1,0.0,
