,,,問11(1).それらの活動では、あなたは親や家族と一緒に参加したことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
全体,,回答者数（人）,3137,725,506,950,956,32,1992
全体,,構成比（％）,100.0,23.1,16.1,30.3,30.5,,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,232,55,43,61,73,2,156
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,23.7,18.5,26.3,31.5,,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,105,16,17,30,42,1,66
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,15.2,16.2,28.6,40.0,,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,123,38,25,31,29,1,84
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,30.9,20.3,25.2,23.6,,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,4,1,1,0,2,0,6
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,25.0,25.0,0.0,50.0,,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,517,145,96,145,131,5,286
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,28.0,18.6,28.0,25.3,,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,249,49,46,86,68,1,134
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,19.7,18.5,34.5,27.3,,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,254,90,48,56,60,4,138
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,35.4,18.9,22.0,23.6,,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,14,6,2,3,3,0,14
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,42.9,14.3,21.4,21.4,,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,267,70,44,92,61,3,200
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,26.2,16.5,34.5,22.8,,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,168,33,26,60,49,2,98
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,19.6,15.5,35.7,29.2,,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,99,37,18,32,12,1,101
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,37.4,18.2,32.3,12.1,,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,0,0,0,0,0,0,1
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,0.0,0.0,0.0,0.0,0.0,,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,510,91,75,157,187,3,258
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,17.8,14.7,30.8,36.7,,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,223,37,25,69,92,2,96
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,16.6,11.2,30.9,41.3,,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,244,47,42,76,79,1,124
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,19.3,17.2,31.1,32.4,,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,43,7,8,12,16,0,38
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,16.3,18.6,27.9,37.2,,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,427,113,70,114,130,6,386
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,26.5,16.4,26.7,30.4,,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,143,24,18,48,53,5,104
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,16.8,12.6,33.6,37.1,,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,182,63,33,36,50,1,175
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,34.6,18.1,19.8,27.5,,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,102,26,19,30,27,0,107
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,25.5,18.6,29.4,26.5,,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,367,87,68,108,104,5,159
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,23.7,18.5,29.4,28.3,,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,189,34,28,69,58,3,94
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,18.0,14.8,36.5,30.7,,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,169,49,37,38,45,2,62
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,29.0,21.9,22.5,26.6,,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,9,4,3,1,1,0,3
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,44.4,33.3,11.1,11.1,,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,413,83,58,136,136,3,302
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,20.1,14.0,32.9,32.9,,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,120,23,19,41,37,3,80
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,19.2,15.8,34.2,30.8,,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,213,37,32,75,69,0,132
