,,,問7(2).他人が困ると分かっていても、自分のしたいことをする／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,6698,234,953,3480,2031,70
全体,,構成比（％）,100.0,3.5,14.2,52.0,30.3,
小中高校生別×男女別,小学生-全体,回答者数（人）,2252,74,253,966,959,42
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,3.3,11.2,42.9,42.6,
小中高校生別×男女別,小学生-男子,回答者数（人）,1151,54,148,506,443,31
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,4.7,12.9,44.0,38.5,
小中高校生別×男女別,小学生-女子,回答者数（人）,1101,20,105,460,516,11
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,1.8,9.5,41.8,46.9,
小中高校生別×男女別,中学生-全体,回答者数（人）,2498,102,396,1279,721,20
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,4.1,15.9,51.2,28.9,
小中高校生別×男女別,中学生-男子,回答者数（人）,1265,79,252,614,320,12
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,6.2,19.9,48.5,25.3,
小中高校生別×男女別,中学生-女子,回答者数（人）,1233,23,144,665,401,8
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,1.9,11.7,53.9,32.5,
小中高校生別×男女別,高校生-全体,回答者数（人）,1855,56,282,1195,322,7
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,3.0,15.2,64.4,17.4,
小中高校生別×男女別,高校生-男子,回答者数（人）,817,40,137,514,126,4
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,4.9,16.8,62.9,15.4,
小中高校生別×男女別,高校生-女子,回答者数（人）,1038,16,145,681,196,3
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,1.5,14.0,65.6,18.9,
