,,,問13.子供たちみんなが社会のルールやマナーを守って生活するようになるためには、何が必要だと思いますか(2位)／合計,地域の大人へきちんとあいさつをすること,ルールやマナー違反を注意する大人がいること,周(まわ)りの友達がルールやマナーを守っていること,親がルールやマナーを守っていること,地域の大人がルールやマナーを守っていること,ルールやマナーを守るように宣伝すること,一人一人が自覚すること
全体,,回答者数（人）,4684,469,813,571,587,611,237,670
全体,,構成比（％）,100.0,10.0,17.4,12.2,12.5,13.0,5.1,14.3
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,343,36,65,36,42,45,14,61
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,10.5,19.0,10.5,12.2,13.1,4.1,17.8
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,150,22,25,15,11,15,10,21
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,14.7,16.7,10.0,7.3,10.0,6.7,14.0
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,184,14,38,21,29,27,4,39
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,7.6,20.7,11.4,15.8,14.7,2.2,21.2
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,9,0,2,0,2,3,0,1
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,22.2,0.0,22.2,33.3,0.0,11.1
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,737,74,124,93,98,94,38,96
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,10.0,16.8,12.6,13.3,12.8,5.2,13.0
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,353,46,58,42,33,38,19,49
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,13.0,16.4,11.9,9.3,10.8,5.4,13.9
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,357,27,64,48,56,51,18,44
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,7.6,17.9,13.4,15.7,14.3,5.0,12.3
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,27,1,2,3,9,5,1,3
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,3.7,7.4,11.1,33.3,18.5,3.7,11.1
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,430,40,78,49,45,56,23,67
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,9.3,18.1,11.4,10.5,13.0,5.3,15.6
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,250,23,45,29,23,28,17,42
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,9.2,18.0,11.6,9.2,11.2,6.8,16.8
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,179,17,33,20,22,27,6,25
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,9.5,18.4,11.2,12.3,15.1,3.4,14.0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,0,0,1,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,713,65,115,89,105,92,33,100
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,9.1,16.1,12.5,14.7,12.9,4.6,14.0
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,298,30,41,40,39,28,20,42
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,10.1,13.8,13.4,13.1,9.4,6.7,14.1
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,339,29,59,40,49,46,12,52
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,8.6,17.4,11.8,14.5,13.6,3.5,15.3
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,76,6,15,9,17,18,1,6
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,7.9,19.7,11.8,22.4,23.7,1.3,7.9
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,737,64,141,83,100,106,32,104
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,8.7,19.1,11.3,13.6,14.4,4.3,14.1
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,223,21,38,24,23,22,12,32
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,9.4,17.0,10.8,10.3,9.9,5.4,14.3
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,322,35,68,33,40,39,18,46
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,10.9,21.1,10.2,12.4,12.1,5.6,14.3
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,192,8,35,26,37,45,2,26
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,4.2,18.2,13.5,19.3,23.4,1.0,13.5
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,484,59,75,69,45,56,31,64
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,12.2,15.5,14.3,9.3,11.6,6.4,13.2
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,253,38,33,34,18,25,21,36
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,15.0,13.0,13.4,7.1,9.9,8.3,14.2
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,220,20,41,33,26,27,10,27
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,9.1,18.6,15.0,11.8,12.3,4.5,12.3
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,11,1,1,2,1,4,0,1
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,9.1,9.1,18.2,9.1,36.4,0.0,9.1
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,650,64,112,89,78,81,35,100
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,9.8,17.2,13.7,12.0,12.5,5.4,15.4
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,182,22,31,25,20,15,10,19
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,12.1,17.0,13.7,11.0,8.2,5.5,10.4
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,311,33,52,41,35,35,20,60
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,10.6,16.7,13.2,11.3,11.3,6.4,19.3
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,157,9,29,23,23,31,5,21
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,5.7,18.5,14.6,14.6,19.7,3.2,13.4
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,590,67,103,63,74,81,31,78
地元居住生徒限定・地区別×小中高校生別,H地区-全体,構成比（％）,100.0,11.4,17.5,10.7,12.5,13.7,5.3,13.2
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,回答者数（人）,280,33,51,30,21,28,23,39
地元居住生徒限定・地区別×小中高校生別,H地区-小学生,構成比（％）,100.0,11.8,18.2,10.7,7.5,10.0,8.2,13.9
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,回答者数（人）,235,29,36,25,33,38,7,35
地元居住生徒限定・地区別×小中高校生別,H地区-中学生,構成比（％）,100.0,12.3,15.3,10.6,14.0,16.2,3.0,14.9
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,回答者数（人）,75,5,16,8,20,15,1,4
地元居住生徒限定・地区別×小中高校生別,H地区-高校生,構成比（％）,100.0,6.7,21.3,10.7,26.7,20.0,1.3,5.3
