,,,問4(5).友達にうそをつく人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,6704,414,919,2480,2891,64
全体,,構成比（％）,100.0,6.2,13.7,37.0,43.1,
小中高校生別×男女別,小学生-全体,回答者数（人）,2260,119,228,707,1206,34
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,5.3,10.1,31.3,53.4,
小中高校生別×男女別,小学生-男子,回答者数（人）,1155,94,143,380,538,27
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,8.1,12.4,32.9,46.6,
小中高校生別×男女別,小学生-女子,回答者数（人）,1105,25,85,327,668,7
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,2.3,7.7,29.6,60.5,
小中高校生別×男女別,中学生-全体,回答者数（人）,2497,183,378,953,983,21
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,7.3,15.1,38.2,39.4,
小中高校生別×男女別,中学生-男子,回答者数（人）,1265,142,243,478,402,12
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,11.2,19.2,37.8,31.8,
小中高校生別×男女別,中学生-女子,回答者数（人）,1232,41,135,475,581,9
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,3.3,11.0,38.6,47.2,
小中高校生別×男女別,高校生-全体,回答者数（人）,1856,103,304,785,664,6
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,5.5,16.4,42.3,35.8,
小中高校生別×男女別,高校生-男子,回答者数（人）,817,74,174,343,226,4
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,9.1,21.3,42.0,27.7,
小中高校生別×男女別,高校生-女子,回答者数（人）,1039,29,130,442,438,2
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,2.8,12.5,42.5,42.2,
