,,,問9(9).ごみや空き缶、ガムなどを道に捨てた／合計,まったくない,1回ある,数回ある,何度もある,不明
全体,,回答者数（人）,4996,4068,418,394,116,165
全体,,構成比（％）,100.0,81.4,8.4,7.9,2.3,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,376,293,42,26,15,14
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,77.9,11.2,6.9,4.0,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,163,136,20,7,0,9
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,83.4,12.3,4.3,0.0,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,203,147,22,19,15,5
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,72.4,10.8,9.4,7.4,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,10,0,0,0,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,100.0,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,778,673,58,38,9,30
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,86.5,7.5,4.9,1.2,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,364,329,24,11,0,20
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,90.4,6.6,3.0,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,386,320,33,25,8,10
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,82.9,8.5,6.5,2.1,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,24,1,2,1,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,85.7,3.6,7.1,3.6,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,456,372,36,39,9,14
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,81.6,7.9,8.6,2.0,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,259,220,20,17,2,9
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,84.9,7.7,6.6,0.8,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,196,151,16,22,7,5
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,77.0,8.2,11.2,3.6,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,1,0,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,100.0,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,746,617,61,55,13,25
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,82.7,8.2,7.4,1.7,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,302,265,18,14,5,19
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,87.7,6.0,4.6,1.7,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,363,289,39,29,6,6
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,79.6,10.7,8.0,1.7,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,63,4,12,2,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,77.8,4.9,14.8,2.5,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,799,591,69,113,26,20
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,74.0,8.6,14.1,3.3,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,243,202,21,16,4,9
