,,,問13.子供たちみんなが社会のルールやマナーを守って生活するようになるためには、何が必要だと思いますか(1位)／合計,地域の人々の交流が深まること,町をきれいにしておくこと,その他,不明
全体,,回答者数（人）,6189,205,245,74,579
全体,,構成比（％）,100.0,3.3,4.0,1.2,
小中高校生別×男女別,小学生-全体,回答者数（人）,2075,103,147,22,219
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,5.0,7.1,1.1,
小中高校生別×男女別,小学生-男子,回答者数（人）,1039,52,77,13,143
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,5.0,7.4,1.3,
小中高校生別×男女別,小学生-女子,回答者数（人）,1036,51,70,9,76
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,4.9,6.8,0.9,
小中高校生別×男女別,中学生-全体,回答者数（人）,2290,66,75,29,228
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,2.9,3.3,1.3,
小中高校生別×男女別,中学生-男子,回答者数（人）,1136,25,39,17,141
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,2.2,3.4,1.5,
小中高校生別×男女別,中学生-女子,回答者数（人）,1154,41,36,12,87
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,3.6,3.1,1.0,
小中高校生別×男女別,高校生-全体,回答者数（人）,1749,33,20,19,113
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,1.9,1.1,1.1,
小中高校生別×男女別,高校生-男子,回答者数（人）,766,17,10,14,55
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,2.2,1.3,1.8,
小中高校生別×男女別,高校生-女子,回答者数（人）,983,16,10,5,58
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,1.6,1.0,0.5,
