,,,問9(2).先生の指示に従わなかった／合計,まったくない,1回ある,数回ある,何度もある,不明
全体,,回答者数（人）,4980,2592,919,1228,241,181
全体,,構成比（％）,100.0,52.0,18.5,24.7,4.8,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,375,193,55,96,31,15
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,51.5,14.7,25.6,8.3,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,162,104,25,27,6,10
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,64.2,15.4,16.7,3.7,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,203,81,29,68,25,5
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,39.9,14.3,33.5,12.3,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,8,1,1,0,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,80.0,10.0,10.0,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,778,418,141,190,29,30
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,53.7,18.1,24.4,3.7,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,364,231,67,61,5,20
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,63.5,18.4,16.8,1.4,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,386,172,69,123,22,10
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,44.6,17.9,31.9,5.7,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,15,5,6,2,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,53.6,17.9,21.4,7.1,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,453,212,104,116,21,17
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,46.8,23.0,25.6,4.6,
