,,,問13.子供たちみんなが社会のルールやマナーを守って生活するようになるためには、何が必要だと思いますか(1位)／合計,地域の大人へきちんとあいさつをすること,ルールやマナー違反を注意する大人がいること,周(まわ)りの友達がルールやマナーを守っていること,親がルールやマナーを守っていること,地域の大人がルールやマナーを守っていること,ルールやマナーを守るように宣伝すること,一人一人が自覚すること
全体,,回答者数（人）,6189,1089,562,373,688,616,98,2239
全体,,構成比（％）,100.0,17.6,9.1,6.0,11.1,10.0,1.6,36.2
小中高校生別×男女別,小学生-全体,回答者数（人）,2075,424,235,136,116,150,56,686
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,20.4,11.3,6.6,5.6,7.2,2.7,33.1
小中高校生別×男女別,小学生-男子,回答者数（人）,1039,236,134,78,49,77,27,296
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,22.7,12.9,7.5,4.7,7.4,2.6,28.5
小中高校生別×男女別,小学生-女子,回答者数（人）,1036,188,101,58,67,73,29,390
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,18.1,9.7,5.6,6.5,7.0,2.8,37.6
小中高校生別×男女別,中学生-全体,回答者数（人）,2290,424,201,135,179,212,27,942
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,18.5,8.8,5.9,7.8,9.3,1.2,41.1
小中高校生別×男女別,中学生-男子,回答者数（人）,1136,248,121,76,60,107,14,429
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,21.8,10.7,6.7,5.3,9.4,1.2,37.8
小中高校生別×男女別,中学生-女子,回答者数（人）,1154,176,80,59,119,105,13,513
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,15.3,6.9,5.1,10.3,9.1,1.1,44.5
小中高校生別×男女別,高校生-全体,回答者数（人）,1749,233,121,95,385,248,15,580
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,13.3,6.9,5.4,22.0,14.2,0.9,33.2
小中高校生別×男女別,高校生-男子,回答者数（人）,766,123,60,49,120,117,4,252
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,16.1,7.8,6.4,15.7,15.3,0.5,32.9
小中高校生別×男女別,高校生-女子,回答者数（人）,983,110,61,46,265,131,11,328
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,11.2,6.2,4.7,27.0,13.3,1.1,33.4
