,,,問11(6).それらの活動では、あなたは年齢の違う人と親しくなったことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
全体,,回答者数（人）,3136,513,575,792,1256,33,1992
全体,,構成比（％）,100.0,16.4,18.3,25.3,40.1,,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,232,37,44,70,81,2,156
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,15.9,19.0,30.2,34.9,,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,105,21,21,25,38,1,66
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,20.0,20.0,23.8,36.2,,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,123,15,22,45,41,1,84
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,12.2,17.9,36.6,33.3,,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,4,1,1,0,2,0,6
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,25.0,25.0,0.0,50.0,,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,517,85,88,135,209,5,286
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,16.4,17.0,26.1,40.4,,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,247,38,42,71,96,3,134
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,15.4,17.0,28.7,38.9,,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,256,46,43,61,106,2,138
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,18.0,16.8,23.8,41.4,,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,14,1,3,3,7,0,14
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,7.1,21.4,21.4,50.0,,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,266,51,49,70,96,4,200
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,19.2,18.4,26.3,36.1,,
