,,,問8(4).授業中、いすに座らずに立ち歩く人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,5000,375,593,1296,2736,161
全体,,構成比（％）,100.0,7.5,11.9,25.9,54.7,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,380,40,41,93,206,10
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,10.5,10.8,24.5,54.2,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,166,11,9,31,115,6
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,6.6,5.4,18.7,69.3,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,204,28,30,59,87,4
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,13.7,14.7,28.9,42.6,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,1,2,3,4,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,10.0,20.0,30.0,40.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,779,49,87,190,453,29
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,6.3,11.2,24.4,58.2,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,365,16,26,77,246,19
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,4.4,7.1,21.1,67.4,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,386,32,60,102,192,10
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,8.3,15.5,26.4,49.7,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,1,1,11,15,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,3.6,3.6,39.3,53.6,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,453,41,61,104,247,17
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,9.1,13.5,23.0,54.5,
