,,,問8(3).授業中、おしゃべりをする人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,6575,740,1748,2253,1834,193
全体,,構成比（％）,100.0,11.3,26.6,34.3,27.9,
小中高校生別×男女別,小学生-全体,回答者数（人）,2196,162,389,731,914,98
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,7.4,17.7,33.3,41.6,
小中高校生別×男女別,小学生-男子,回答者数（人）,1113,106,224,355,428,69
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,9.5,20.1,31.9,38.5,
小中高校生別×男女別,小学生-女子,回答者数（人）,1083,56,165,376,486,29
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,5.2,15.2,34.7,44.9,
小中高校生別×男女別,中学生-全体,回答者数（人）,2464,355,709,832,568,54
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,14.4,28.8,33.8,23.1,
小中高校生別×男女別,中学生-男子,回答者数（人）,1241,211,363,378,289,36
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,17.0,29.3,30.5,23.3,
小中高校生別×男女別,中学生-女子,回答者数（人）,1223,144,346,454,279,18
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,11.8,28.3,37.1,22.8,
小中高校生別×男女別,高校生-全体,回答者数（人）,1824,211,630,664,319,38
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,11.6,34.5,36.4,17.5,
小中高校生別×男女別,高校生-男子,回答者数（人）,804,114,276,286,128,17
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,14.2,34.3,35.6,15.9,
小中高校生別×男女別,高校生-女子,回答者数（人）,1020,97,354,378,191,21
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,9.5,34.7,37.1,18.7,
