因子,項目,α,尺度得点／第1因子,尺度得点／第2因子,因子間相関
第1因子　学校場面の規範意識,,0.88,,,
,(4)授業中、いすに座らずに立ち歩く人がいたら,,0.81,0.57,
,(5)集会や体育など整列しなくてはいけないときに、列に並ばない人がいたら,,0.80,0.61,
,(2)先生の指示に従わない人がいたら,,0.79,0.61,
,(3)授業中、おしゃべりをする人がいたら,,0.74,0.54,
,(6)そうじをさぼる人がいたら,,0.72,0.61,
,(1)友達を仲間はずれにする人がいたら,,0.61,0.56,
第2因子　公共場面の規範意識,,0.86,,,
,(9)ごみや空き缶、ガムなどを道に捨てる人がいたら,,0.63,0.72,
,(8)決められた場所以外に自転車を置く人がいたら,,0.57,0.69,
,(13)道路や駅など公共の場でスマートフォンの画面を見ながら歩く人がいたら,,0.49,0.69,
,(11)歩道いっぱいに広がって歩く人がいたら,,0.53,0.69,
,(12)電車内で携帯電話を使って通話する人がいたら,,0.49,0.68,
,(10)電車の中で、友達と大きな声で騒ぐ人がいたら,,0.60,0.66,
,(7)夜、無灯火のままで自転車に乗る人がいたら,,0.50,0.63,
第1因子　学校場面の規範意識／第2因子　公共場面の規範意識,,,,,0.75
