,,,問6(5).仲間はずれになるくらいなら一緒に悪いことをしてしまう／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,5081,228,798,1629,2426,80
全体,,構成比（％）,100.0,4.5,15.7,32.1,47.7,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,380,23,58,106,193,10
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,6.1,15.3,27.9,50.8,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,167,11,16,38,102,5
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,6.6,9.6,22.8,61.1,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,203,11,42,63,87,5
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,5.4,20.7,31.0,42.9,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,1,0,5,4,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,10.0,0.0,50.0,40.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,799,32,110,249,408,9
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,4.0,13.8,31.2,51.1,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,380,8,36,95,241,4
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,2.1,9.5,25.0,63.4,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,391,23,65,144,159,5
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,5.9,16.6,36.8,40.7,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,1,9,10,8,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,3.6,32.1,35.7,28.6,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,459,23,89,147,200,11
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,5.0,19.4,32.0,43.6,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,260,11,27,75,147,8
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,4.2,10.4,28.8,56.5,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,198,12,61,72,53,3
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,6.1,30.8,36.4,26.8,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,1,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,100.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,754,29,131,222,372,17
