,,,問8(11).歩道いっぱいに広がって歩く人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,4995,273,541,1592,2589,166
全体,,構成比（％）,100.0,5.5,10.8,31.9,51.8,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,376,29,40,90,217,14
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,7.7,10.6,23.9,57.7,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,162,12,17,27,106,10
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,7.4,10.5,16.7,65.4,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,204,17,22,60,105,4
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,8.3,10.8,29.4,51.5,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,1,3,6,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,10.0,30.0,60.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,780,38,81,241,420,28
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,4.9,10.4,30.9,53.8,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,365,15,30,104,216,19
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,4.1,8.2,28.5,59.2,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,387,21,48,125,193,9
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,5.4,12.4,32.3,49.9,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,2,3,12,11,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,7.1,10.7,42.9,39.3,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,457,35,60,147,215,13
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,7.7,13.1,32.2,47.0,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,260,20,35,71,134,8
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,7.7,13.5,27.3,51.5,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,196,15,25,75,81,5
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,7.7,12.8,38.3,41.3,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,1,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,100.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,747,31,78,260,378,24
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,4.1,10.4,34.8,50.6,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,304,19,30,91,164,17
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,6.3,9.9,29.9,53.9,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,362,10,44,139,169,7
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,2.8,12.2,38.4,46.7,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,81,2,4,30,45,0
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,2.5,4.9,37.0,55.6,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,797,39,79,276,403,22
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,4.9,9.9,34.6,50.6,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,243,11,17,81,134,9
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,4.5,7.0,33.3,55.1,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,347,21,37,117,172,11
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,6.1,10.7,33.7,49.6,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,207,7,25,78,97,2
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,3.4,12.1,37.7,46.9,
