,,,問15.あなたが困ったときに相談する相手はだれですか（複数回答）／合計,先輩,地域の大人,スクールカウンセラー,学校以外の相談窓口,その他,いない,不明
全体,,回答者数（人）,4724,652,118,472,93,119,320,437
全体,,構成比（％）,100.0,13.8,2.5,10.0,2.0,2.5,6.8,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,355,29,9,47,5,7,35,35
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,8.2,2.5,13.2,1.4,2.0,9.9,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,154,8,5,29,5,3,13,18
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,5.2,3.2,18.8,3.2,1.9,8.4,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,191,21,4,18,0,4,20,17
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,11.0,2.1,9.4,0.0,2.1,10.5,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,0,0,0,0,0,2,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,0.0,0.0,0.0,0.0,0.0,20.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,735,113,19,74,14,17,48,73
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,15.4,2.6,10.1,1.9,2.3,6.5,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,350,30,9,57,7,6,17,34
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,8.6,2.6,16.3,2.0,1.7,4.9,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,358,81,10,17,6,11,28,38
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,22.6,2.8,4.7,1.7,3.1,7.8,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,27,2,0,0,1,0,3,1
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,7.4,0.0,0.0,3.7,0.0,11.1,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,436,49,9,68,12,8,28,34
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,11.2,2.1,15.6,2.8,1.8,6.4,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,255,17,6,60,6,7,13,13
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,6.7,2.4,23.5,2.4,2.7,5.1,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,180,32,3,8,6,1,15,21
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,17.8,1.7,4.4,3.3,0.6,8.3,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,0,0,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,0.0,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,717,107,16,47,16,26,56,54
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,14.9,2.2,6.6,2.2,3.6,7.8,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,303,28,7,31,6,12,24,18
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,9.2,2.3,10.2,2.0,4.0,7.9,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,339,68,7,15,8,13,26,30
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,20.1,2.1,4.4,2.4,3.8,7.7,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,75,11,2,1,2,1,6,6
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,14.7,2.7,1.3,2.7,1.3,8.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,749,133,21,81,11,25,39,70
