,,,問14(1).あなたの周(まわ)りの大人は、ルールやマナーを守る人が多い／合計,そう思う,ややそう思う,あまりそう思わない,そう思わない,不明
全体,,回答者数（人）,4758,2062,1916,571,209,403
全体,,構成比（％）,100.0,43.3,40.3,12.0,4.4,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,353,137,128,58,30,37
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,38.8,36.3,16.4,8.5,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,153,67,53,19,14,19
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,43.8,34.6,12.4,9.2,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,190,66,71,38,15,18
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,34.7,37.4,20.0,7.9,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,4,4,1,1,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,40.0,40.0,10.0,10.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,745,383,269,72,21,63
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,51.4,36.1,9.7,2.8,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,357,201,114,32,10,27
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,56.3,31.9,9.0,2.8,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,361,168,146,36,11,35
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,46.5,40.4,10.0,3.0,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,27,14,9,4,0,1
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,51.9,33.3,14.8,0.0,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,435,184,179,49,23,35
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,42.3,41.1,11.3,5.3,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,254,106,103,31,14,14
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,41.7,40.6,12.2,5.5,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,180,78,76,17,9,21
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,43.3,42.2,9.4,5.0,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,0,1,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,0.0,100.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,721,278,317,99,27,50
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,38.6,44.0,13.7,3.7,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,306,128,129,39,10,15
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,41.8,42.2,12.7,3.3,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,340,127,149,47,17,29
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,37.4,43.8,13.8,5.0,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,75,23,39,13,0,6
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,30.7,52.0,17.3,0.0,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,759,301,318,106,34,60
地元居住生徒限定・地区別×小中高校生別,E地区-全体,構成比（％）,100.0,39.7,41.9,14.0,4.5,
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,回答者数（人）,233,111,91,20,11,19
地元居住生徒限定・地区別×小中高校生別,E地区-小学生,構成比（％）,100.0,47.6,39.1,8.6,4.7,
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,回答者数（人）,330,131,140,44,15,28
地元居住生徒限定・地区別×小中高校生別,E地区-中学生,構成比（％）,100.0,39.7,42.4,13.3,4.5,
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,回答者数（人）,196,59,87,42,8,13
地元居住生徒限定・地区別×小中高校生別,E地区-高校生,構成比（％）,100.0,30.1,44.4,21.4,4.1,
地元居住生徒限定・地区別×小中高校生別,F地区-全体,回答者数（人）,490,196,217,54,23,41
地元居住生徒限定・地区別×小中高校生別,F地区-全体,構成比（％）,100.0,40.0,44.3,11.0,4.7,
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,回答者数（人）,256,107,111,32,6,30
地元居住生徒限定・地区別×小中高校生別,F地区-小学生,構成比（％）,100.0,41.8,43.4,12.5,2.3,
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,回答者数（人）,223,84,101,21,17,10
地元居住生徒限定・地区別×小中高校生別,F地区-中学生,構成比（％）,100.0,37.7,45.3,9.4,7.6,
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,回答者数（人）,11,5,5,1,0,1
地元居住生徒限定・地区別×小中高校生別,F地区-高校生,構成比（％）,100.0,45.5,45.5,9.1,0.0,
地元居住生徒限定・地区別×小中高校生別,G地区-全体,回答者数（人）,660,288,279,62,31,58
地元居住生徒限定・地区別×小中高校生別,G地区-全体,構成比（％）,100.0,43.6,42.3,9.4,4.7,
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,回答者数（人）,188,96,72,15,5,15
地元居住生徒限定・地区別×小中高校生別,G地区-小学生,構成比（％）,100.0,51.1,38.3,8.0,2.7,
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,回答者数（人）,314,135,135,23,21,31
地元居住生徒限定・地区別×小中高校生別,G地区-中学生,構成比（％）,100.0,43.0,43.0,7.3,6.7,
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,回答者数（人）,158,57,72,24,5,12
地元居住生徒限定・地区別×小中高校生別,G地区-高校生,構成比（％）,100.0,36.1,45.6,15.2,3.2,
地元居住生徒限定・地区別×小中高校生別,H地区-全体,回答者数（人）,595,295,209,71,20,59
