,,,問5(7).あなたは、先生に対して、ていねいな言葉づかいをする／合計,いつもしている,ある程度している,あまりしていない,まったくしていない,不明
全体,,回答者数（人）,5121,2404,2154,440,123,40
全体,,構成比（％）,100.0,46.9,42.1,8.6,2.4,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,382,169,164,38,11,8
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,44.2,42.9,9.9,2.9,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,165,87,65,10,3,7
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,52.7,39.4,6.1,1.8,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,207,77,94,28,8,1
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,37.2,45.4,13.5,3.9,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,10,5,5,0,0,0
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,50.0,50.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,803,418,322,52,11,5
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,52.1,40.1,6.5,1.4,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,382,211,141,25,5,2
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,55.2,36.9,6.5,1.3,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,393,194,166,27,6,3
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,49.4,42.2,6.9,1.5,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,13,15,0,0,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,46.4,53.6,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,461,217,196,40,8,9
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,47.1,42.5,8.7,1.7,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,262,125,108,25,4,6
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,47.7,41.2,9.5,1.5,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,198,92,87,15,4,3
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,46.5,43.9,7.6,2.0,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,1,0,1,0,0,0
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,100.0,0.0,100.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,767,359,313,70,25,4
