,,,問9(7).夜、無灯火のままで自転車に乗った／合計,まったくない,1回ある,数回ある,何度もある,不明
全体,,回答者数（人）,5009,3759,421,476,353,152
全体,,構成比（％）,100.0,75.0,8.4,9.5,7.0,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,377,257,43,45,32,13
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,68.2,11.4,11.9,8.5,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,164,121,20,17,6,8
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,73.8,12.2,10.4,3.7,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,204,127,23,28,26,4
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,62.3,11.3,13.7,12.7,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,9,9,0,0,0,1
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,100.0,0.0,0.0,0.0,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,785,572,64,85,64,23
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,72.9,8.2,10.8,8.2,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,368,282,28,36,22,16
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,76.6,7.6,9.8,6.0,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,389,269,36,45,39,7
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,69.2,9.3,11.6,10.0,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,28,21,0,4,3,0
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,75.0,0.0,14.3,10.7,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,457,339,54,43,21,13
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,74.2,11.8,9.4,4.6,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,260,192,33,22,13,8
