,,,問11(8).それらの活動では、あなたは年下の人のめんどうをみたことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
全体,,回答者数（人）,3139,582,596,817,1144,30,1992
全体,,構成比（％）,100.0,18.5,19.0,26.0,36.4,,
地元居住生徒限定・地区別×小中高校生別,A地区-全体,回答者数（人）,232,42,49,66,75,2,156
地元居住生徒限定・地区別×小中高校生別,A地区-全体,構成比（％）,100.0,18.1,21.1,28.4,32.3,,
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,回答者数（人）,105,20,20,29,36,1,66
地元居住生徒限定・地区別×小中高校生別,A地区-小学生,構成比（％）,100.0,19.0,19.0,27.6,34.3,,
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,回答者数（人）,123,21,27,36,39,1,84
地元居住生徒限定・地区別×小中高校生別,A地区-中学生,構成比（％）,100.0,17.1,22.0,29.3,31.7,,
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,回答者数（人）,4,1,2,1,0,0,6
地元居住生徒限定・地区別×小中高校生別,A地区-高校生,構成比（％）,100.0,25.0,50.0,25.0,0.0,,
地元居住生徒限定・地区別×小中高校生別,B地区-全体,回答者数（人）,517,90,116,120,191,5,286
地元居住生徒限定・地区別×小中高校生別,B地区-全体,構成比（％）,100.0,17.4,22.4,23.2,36.9,,
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,回答者数（人）,248,39,67,62,80,2,134
地元居住生徒限定・地区別×小中高校生別,B地区-小学生,構成比（％）,100.0,15.7,27.0,25.0,32.3,,
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,回答者数（人）,255,49,45,55,106,3,138
地元居住生徒限定・地区別×小中高校生別,B地区-中学生,構成比（％）,100.0,19.2,17.6,21.6,41.6,,
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,回答者数（人）,14,2,4,3,5,0,14
地元居住生徒限定・地区別×小中高校生別,B地区-高校生,構成比（％）,100.0,14.3,28.6,21.4,35.7,,
地元居住生徒限定・地区別×小中高校生別,C地区-全体,回答者数（人）,265,59,47,73,86,5,200
地元居住生徒限定・地区別×小中高校生別,C地区-全体,構成比（％）,100.0,22.3,17.7,27.5,32.5,,
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,回答者数（人）,168,40,27,46,55,2,98
地元居住生徒限定・地区別×小中高校生別,C地区-小学生,構成比（％）,100.0,23.8,16.1,27.4,32.7,,
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,回答者数（人）,97,19,20,27,31,3,101
地元居住生徒限定・地区別×小中高校生別,C地区-中学生,構成比（％）,100.0,19.6,20.6,27.8,32.0,,
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,回答者数（人）,0,0,0,0,0,0,1
地元居住生徒限定・地区別×小中高校生別,C地区-高校生,構成比（％）,0.0,0.0,0.0,0.0,0.0,,
地元居住生徒限定・地区別×小中高校生別,D地区-全体,回答者数（人）,510,103,101,120,186,3,258
地元居住生徒限定・地区別×小中高校生別,D地区-全体,構成比（％）,100.0,20.2,19.8,23.5,36.5,,
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,回答者数（人）,223,52,41,51,79,2,96
地元居住生徒限定・地区別×小中高校生別,D地区-小学生,構成比（％）,100.0,23.3,18.4,22.9,35.4,,
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,回答者数（人）,244,42,50,59,93,1,124
地元居住生徒限定・地区別×小中高校生別,D地区-中学生,構成比（％）,100.0,17.2,20.5,24.2,38.1,,
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,回答者数（人）,43,9,10,10,14,0,38
地元居住生徒限定・地区別×小中高校生別,D地区-高校生,構成比（％）,100.0,20.9,23.3,23.3,32.6,,
地元居住生徒限定・地区別×小中高校生別,E地区-全体,回答者数（人）,428,80,71,118,159,5,386
