,,,問14(1).あなたの周(まわ)りの大人は、ルールやマナーを守る人が多い／合計,そう思う,ややそう思う,あまりそう思わない,そう思わない,不明
全体,,回答者数（人）,6258,2637,2534,793,294,510
全体,,構成比（％）,100.0,42.1,40.5,12.7,4.7,
小中高校生別×男女別,小学生-全体,回答者数（人）,2122,1019,782,239,82,172
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,48.0,36.9,11.3,3.9,
小中高校生別×男女別,小学生-男子,回答者数（人）,1076,505,398,123,50,106
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,46.9,37.0,11.4,4.6,
小中高校生別×男女別,小学生-女子,回答者数（人）,1046,514,384,116,32,66
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,49.1,36.7,11.1,3.1,
小中高校生別×男女別,中学生-全体,回答者数（人）,2306,951,954,272,129,212
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,41.2,41.4,11.8,5.6,
小中高校生別×男女別,中学生-男子,回答者数（人）,1149,468,465,129,87,128
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,40.7,40.5,11.2,7.6,
小中高校生別×男女別,中学生-女子,回答者数（人）,1157,483,489,143,42,84
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,41.7,42.3,12.4,3.6,
小中高校生別×男女別,高校生-全体,回答者数（人）,1752,635,769,271,77,110
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,36.2,43.9,15.5,4.4,
小中高校生別×男女別,高校生-男子,回答者数（人）,765,265,331,126,43,56
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,34.6,43.3,16.5,5.6,
小中高校生別×男女別,高校生-女子,回答者数（人）,987,370,438,145,34,54
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,37.5,44.4,14.7,3.4,
